QUERY_HASH|OPERATOR_HASH|LEFT_INPUT_OPERATOR_HASH|RIGHT_INPUT_OPERATOR_HASH|TABLE_NAME|PRUNED_CHUNK_COUNT|PRUNED_COLUMN_COUNT|OUTPUT_CHUNK_COUNT|OUTPUT_ROW_COUNT|RUNTIME_NS|DESCRIPTION
"5a2b866c50993af7"|"0x7fb878311d90e6c3787bece24556"|"NULL"|"NULL"|"orders"|0|8|23|1500000|30898|"GetTable (orders) pruned: 0/23 chunk(s), 8/9 column(s)"
"17ec44c1749bf778"|"0x7fb87afaa1b0a24853058028fe4"|"NULL"|"NULL"|"lineitem"|0|12|92|6001215|136147|"GetTable (lineitem) pruned: 0/92 chunk(s), 12/16 column(s)"
"17ec44c1749bf778"|"0x7fb87afaa370ae16e8eb33360359"|"NULL"|"NULL"|"part"|0|7|4|200000|7205|"GetTable (part) pruned: 0/4 chunk(s), 7/9 column(s)"
"3cb753cf8eadaf9d"|"0x7fb86a962d5044e80936bb2f7312"|"NULL"|"NULL"|"customer"|0|7|3|150000|10448|"GetTable (customer) pruned: 0/3 chunk(s), 7/8 column(s)"
"3cb753cf8eadaf9d"|"0x7fb86a962e3018a73eadac425cd6"|"NULL"|"NULL"|"orders"|0|6|23|1500000|31176|"GetTable (orders) pruned: 0/23 chunk(s), 6/9 column(s)"
"6915007f60da0291"|"0x7fb87b035a70f3a5082abf20904b"|"NULL"|"NULL"|"lineitem"|0|11|92|6001215|117788|"GetTable (lineitem) pruned: 0/92 chunk(s), 11/16 column(s)"
"6915007f60da0291"|"0x7fb87b035530c5496a26d40a496f"|"NULL"|"NULL"|"orders"|0|7|23|1500000|40224|"GetTable (orders) pruned: 0/23 chunk(s), 7/9 column(s)"
"f9a75b2a7796cee7"|"0x7fb86c43b85044e80936bb2f7312"|"NULL"|"NULL"|"customer"|0|7|3|150000|10236|"GetTable (customer) pruned: 0/3 chunk(s), 7/8 column(s)"
"f9a75b2a7796cee7"|"0x7fb86c43b93018a73eadac425cd6"|"NULL"|"NULL"|"orders"|0|6|23|1500000|33993|"GetTable (orders) pruned: 0/23 chunk(s), 6/9 column(s)"
"9634c0f014c487c"|"0x7fb86be26d90a24853058028fe4"|"NULL"|"NULL"|"lineitem"|0|12|92|6001215|172223|"GetTable (lineitem) pruned: 0/92 chunk(s), 12/16 column(s)"
"9634c0f014c487c"|"0x7fb86be26cb018a73eadac425cd6"|"NULL"|"NULL"|"orders"|0|6|23|1500000|33085|"GetTable (orders) pruned: 0/23 chunk(s), 6/9 column(s)"
"9634c0f014c487c"|"0x7fb86be27030822aa377e82bcffe"|"NULL"|"NULL"|"customer"|0|1|3|150000|16017|"GetTable (customer) pruned: 0/3 chunk(s), 1/8 column(s)"
"9634c0f014c487c"|"0x7fb86be27110c61445841b99d160"|"NULL"|"NULL"|"nation"|0|2|1|25|5216|"GetTable (nation) pruned: 0/1 chunk(s), 2/4 column(s)"
"662d5e8984be9f4d"|"0x7fb86208147044e80936bb2f7312"|"NULL"|"NULL"|"customer"|0|7|3|150000|12970|"GetTable (customer) pruned: 0/3 chunk(s), 7/8 column(s)"
"662d5e8984be9f4d"|"0x7fb86208139018a73eadac425cd6"|"NULL"|"NULL"|"orders"|0|6|23|1500000|31401|"GetTable (orders) pruned: 0/23 chunk(s), 6/9 column(s)"
"56dbd2db920fd364"|"0x7fb861c9665044e80936bb2f7312"|"NULL"|"NULL"|"customer"|0|7|3|150000|10252|"GetTable (customer) pruned: 0/3 chunk(s), 7/8 column(s)"
"56dbd2db920fd364"|"0x7fb861c9673018a73eadac425cd6"|"NULL"|"NULL"|"orders"|0|6|23|1500000|33891|"GetTable (orders) pruned: 0/23 chunk(s), 6/9 column(s)"
"5306fb25b39c9a13"|"0x7fb86c30103044e80936bb2f7312"|"NULL"|"NULL"|"customer"|0|7|3|150000|10770|"GetTable (customer) pruned: 0/3 chunk(s), 7/8 column(s)"
"5306fb25b39c9a13"|"0x7fb86c300f5018a73eadac425cd6"|"NULL"|"NULL"|"orders"|0|6|23|1500000|28306|"GetTable (orders) pruned: 0/23 chunk(s), 6/9 column(s)"
"6e53188167b613eb"|"0x7fb82f2513f03bd24f116d529a2f"|"NULL"|"NULL"|"lineitem"|0|13|92|6001215|101124|"GetTable (lineitem) pruned: 0/92 chunk(s), 13/16 column(s)"
"6e53188167b613eb"|"0x7fb82f251850f22cb48383b8ac6a"|"NULL"|"NULL"|"part"|0|6|4|200000|6615|"GetTable (part) pruned: 0/4 chunk(s), 6/9 column(s)"
"88cb5050186f8f56"|"0x7fb8787c1a10f3a5082abf20904b"|"NULL"|"NULL"|"lineitem"|0|11|92|6001215|117087|"GetTable (lineitem) pruned: 0/92 chunk(s), 11/16 column(s)"
"88cb5050186f8f56"|"0x7fb8787c15b0c5496a26d40a496f"|"NULL"|"NULL"|"orders"|0|7|23|1500000|45203|"GetTable (orders) pruned: 0/23 chunk(s), 7/9 column(s)"
"5ceda49d87596ad1"|"0x7fb874408630b8cbf259dc221ec9"|"NULL"|"NULL"|"supplier"|0|5|1|10000|7103|"GetTable (supplier) pruned: 0/1 chunk(s), 5/7 column(s)"
"5ceda49d87596ad1"|"0x7fb87440871072c2c8899ee07381"|"NULL"|"NULL"|"customer"|0|6|3|150000|4538|"GetTable (customer) pruned: 0/3 chunk(s), 6/8 column(s)"
"5ceda49d87596ad1"|"0x7fb8744087f015f336fbe2aacac2"|"NULL"|"NULL"|"nation"|0|1|1|25|2202|"GetTable (nation) pruned: 0/1 chunk(s), 1/4 column(s)"
"5ceda49d87596ad1"|"0x7fb874408550787c913e7b77e77f"|"NULL"|"NULL"|"region"|0|1|1|5|2000|"GetTable (region) pruned: 0/1 chunk(s), 1/3 column(s)"
"5ceda49d87596ad1"|"0x7fb875adda3018a73eadac425cd6"|"NULL"|"NULL"|"orders"|0|6|23|1500000|24947|"GetTable (orders) pruned: 0/23 chunk(s), 6/9 column(s)"
"5ceda49d87596ad1"|"0x7fb875addb10f3a5082abf20904b"|"NULL"|"NULL"|"lineitem"|0|11|92|6001215|109591|"GetTable (lineitem) pruned: 0/92 chunk(s), 11/16 column(s)"
"5ceda49d87596ad1"|"0x7fb875addbf0ae16e8eb33360359"|"NULL"|"NULL"|"part"|0|7|4|200000|6569|"GetTable (part) pruned: 0/4 chunk(s), 7/9 column(s)"
"b7716a7fca47124c"|"0x7fb876f5e870f3a5082abf20904b"|"NULL"|"NULL"|"lineitem"|0|11|92|6001215|121623|"GetTable (lineitem) pruned: 0/92 chunk(s), 11/16 column(s)"
"b7716a7fca47124c"|"0x7fb876f5e330c5496a26d40a496f"|"NULL"|"NULL"|"orders"|0|7|23|1500000|48533|"GetTable (orders) pruned: 0/23 chunk(s), 7/9 column(s)"
"30dd4d78749f665f"|"0x7fb876f590f0f3a5082abf20904b"|"NULL"|"NULL"|"lineitem"|0|11|92|6001215|116929|"GetTable (lineitem) pruned: 0/92 chunk(s), 11/16 column(s)"
"30dd4d78749f665f"|"0x7fb87803cbb0c5496a26d40a496f"|"NULL"|"NULL"|"orders"|0|7|23|1500000|44433|"GetTable (orders) pruned: 0/23 chunk(s), 7/9 column(s)"
"2128f939393ffa99"|"0x7fb870d22ef01ffe5ea0ab36463d"|"NULL"|"NULL"|"partsupp"|0|2|13|800000|30240|"GetTable (partsupp) pruned: 0/13 chunk(s), 2/5 column(s)"
"2128f939393ffa99"|"0x7fb874629d5044df8001c1284d65"|"NULL"|"NULL"|"lineitem"|0|10|92|6001215|164088|"GetTable (lineitem) pruned: 0/92 chunk(s), 10/16 column(s)"
"2128f939393ffa99"|"0x7fb874629c70ae16e8eb33360359"|"NULL"|"NULL"|"part"|0|7|4|200000|6683|"GetTable (part) pruned: 0/4 chunk(s), 7/9 column(s)"
"2128f939393ffa99"|"0x7fb8712a8630c5496a26d40a496f"|"NULL"|"NULL"|"orders"|0|7|23|1500000|41130|"GetTable (orders) pruned: 0/23 chunk(s), 7/9 column(s)"
"2128f939393ffa99"|"0x7fb87462b170b8cbf259dc221ec9"|"NULL"|"NULL"|"supplier"|0|5|1|10000|12657|"GetTable (supplier) pruned: 0/1 chunk(s), 5/7 column(s)"
"2128f939393ffa99"|"0x7fb874629e30c61445841b99d160"|"NULL"|"NULL"|"nation"|0|2|1|25|4621|"GetTable (nation) pruned: 0/1 chunk(s), 2/4 column(s)"
"b2779cbfec72d65d"|"0x7fb8642e29d044e80936bb2f7312"|"NULL"|"NULL"|"customer"|0|7|3|150000|10745|"GetTable (customer) pruned: 0/3 chunk(s), 7/8 column(s)"
"b2779cbfec72d65d"|"0x7fb8642e2ab018a73eadac425cd6"|"NULL"|"NULL"|"orders"|0|6|23|1500000|30157|"GetTable (orders) pruned: 0/23 chunk(s), 6/9 column(s)"
"3012fb55b76cf808"|"0x7fb8623ae2108ccbe08273fca156"|"NULL"|"NULL"|"orders"|0|0|23|1500000|14818|"GetTable (orders) pruned: 0/23 chunk(s), 0/9 column(s)"
"3012fb55b76cf808"|"0x7fb8754950306713a60d4fbd2dc9"|"NULL"|"NULL"|"lineitem"|0|0|92|6001215|41375|"GetTable (lineitem) pruned: 0/92 chunk(s), 0/16 column(s)"
"3012fb55b76cf808"|"0x7fb8696628f02eecfb54cd4aafba"|"NULL"|"NULL"|"supplier"|0|0|1|10000|1812|"GetTable (supplier) pruned: 0/1 chunk(s), 0/7 column(s)"
"3012fb55b76cf808"|"0x7fb8623ae4b048d71e19c18258b9"|"NULL"|"NULL"|"nation"|0|0|1|25|1485|"GetTable (nation) pruned: 0/1 chunk(s), 0/4 column(s)"
"66a2531bd4b0bf27"|"0x7fb87503bc10a24853058028fe4"|"NULL"|"NULL"|"lineitem"|0|12|92|6001215|109402|"GetTable (lineitem) pruned: 0/92 chunk(s), 12/16 column(s)"
"66a2531bd4b0bf27"|"0x7fb87503ba50737333353f08f1e8"|"NULL"|"NULL"|"orders"|0|5|23|1500000|26907|"GetTable (orders) pruned: 0/23 chunk(s), 5/9 column(s)"
"66a2531bd4b0bf27"|"0x7fb87503b89072c2c8899ee07381"|"NULL"|"NULL"|"customer"|0|6|3|150000|5250|"GetTable (customer) pruned: 0/3 chunk(s), 6/8 column(s)"
"118eb592898739be"|"0x7fb87b36d1f0f3a5082abf20904b"|"NULL"|"NULL"|"lineitem"|0|11|92|6001215|124828|"GetTable (lineitem) pruned: 0/92 chunk(s), 11/16 column(s)"
"118eb592898739be"|"0x7fb87b36ccb0c5496a26d40a496f"|"NULL"|"NULL"|"orders"|0|7|23|1500000|43939|"GetTable (orders) pruned: 0/23 chunk(s), 7/9 column(s)"
"cae48c81481802f4"|"0x7fb8783c7c3044df8001c1284d65"|"NULL"|"NULL"|"lineitem"|0|10|92|6001215|125217|"GetTable (lineitem) pruned: 0/92 chunk(s), 10/16 column(s)"
"cae48c81481802f4"|"0x7fb8783c7d10906b0df4bc884182"|"NULL"|"NULL"|"part"|0|5|4|200000|7159|"GetTable (part) pruned: 0/4 chunk(s), 5/9 column(s)"
"e746d56381731f4f"|"0x7fb87a9a7a108ccbe08273fca156"|"NULL"|"NULL"|"orders"|0|0|23|1500000|15463|"GetTable (orders) pruned: 0/23 chunk(s), 0/9 column(s)"
"e746d56381731f4f"|"0x7fb87a9a7bd03bd24f116d529a2f"|"NULL"|"NULL"|"lineitem"|0|13|92|6001215|106436|"GetTable (lineitem) pruned: 0/92 chunk(s), 13/16 column(s)"
"db9f11d764d89275"|"0x7fb85e9f5f70ff930f234bb2d962"|"NULL"|"NULL"|"partsupp"|0|3|13|800000|18821|"GetTable (partsupp) pruned: 0/13 chunk(s), 3/5 column(s)"
"db9f11d764d89275"|"0x7fb8583f3010906b0df4bc884182"|"NULL"|"NULL"|"part"|0|5|4|200000|7451|"GetTable (part) pruned: 0/4 chunk(s), 5/9 column(s)"
"db9f11d764d89275"|"0x7fb8642e38b0b8cbf259dc221ec9"|"NULL"|"NULL"|"supplier"|0|5|1|10000|4526|"GetTable (supplier) pruned: 0/1 chunk(s), 5/7 column(s)"
"a756e4263a550cbb"|"0x7fb8712aa7701ffe5ea0ab36463d"|"NULL"|"NULL"|"partsupp"|0|2|13|800000|29076|"GetTable (partsupp) pruned: 0/13 chunk(s), 2/5 column(s)"
"a756e4263a550cbb"|"0x7fb8712ab3b044df8001c1284d65"|"NULL"|"NULL"|"lineitem"|0|10|92|6001215|164058|"GetTable (lineitem) pruned: 0/92 chunk(s), 10/16 column(s)"
"a756e4263a550cbb"|"0x7fb8712ab1f0ae16e8eb33360359"|"NULL"|"NULL"|"part"|0|7|4|200000|7183|"GetTable (part) pruned: 0/4 chunk(s), 7/9 column(s)"
"a756e4263a550cbb"|"0x7fb8712aaaf0c5496a26d40a496f"|"NULL"|"NULL"|"orders"|0|7|23|1500000|42655|"GetTable (orders) pruned: 0/23 chunk(s), 7/9 column(s)"
"a756e4263a550cbb"|"0x7fb86d31e610b8cbf259dc221ec9"|"NULL"|"NULL"|"supplier"|0|5|1|10000|13129|"GetTable (supplier) pruned: 0/1 chunk(s), 5/7 column(s)"
"a756e4263a550cbb"|"0x7fb8712aa930c61445841b99d160"|"NULL"|"NULL"|"nation"|0|2|1|25|4545|"GetTable (nation) pruned: 0/1 chunk(s), 2/4 column(s)"
"84d5a9fe52d660cd"|"0x7fb8592bcc70e4449741ade7e3b2"|"NULL"|"NULL"|"partsupp"|0|1|13|800000|16337|"GetTable (partsupp) pruned: 0/13 chunk(s), 1/5 column(s)"
"84d5a9fe52d660cd"|"0x7fb8592bce30b8cbf259dc221ec9"|"NULL"|"NULL"|"supplier"|0|5|1|10000|1978|"GetTable (supplier) pruned: 0/1 chunk(s), 5/7 column(s)"
"84d5a9fe52d660cd"|"0x7fb8592bcf10c61445841b99d160"|"NULL"|"NULL"|"nation"|0|2|1|25|1476|"GetTable (nation) pruned: 0/1 chunk(s), 2/4 column(s)"
"e0774dca1f95d09b"|"0x7fb86be2aad0e4449741ade7e3b2"|"NULL"|"NULL"|"partsupp"|0|1|13|800000|16735|"GetTable (partsupp) pruned: 0/13 chunk(s), 1/5 column(s)"
"e0774dca1f95d09b"|"0x7fb85e9f02b0b8cbf259dc221ec9"|"NULL"|"NULL"|"supplier"|0|5|1|10000|1862|"GetTable (supplier) pruned: 0/1 chunk(s), 5/7 column(s)"
"e0774dca1f95d09b"|"0x7fb86be2a210c61445841b99d160"|"NULL"|"NULL"|"nation"|0|2|1|25|1447|"GetTable (nation) pruned: 0/1 chunk(s), 2/4 column(s)"
"8435e83560f8f245"|"0x7fb869ca5870a24853058028fe4"|"NULL"|"NULL"|"lineitem"|0|12|92|6001215|169691|"GetTable (lineitem) pruned: 0/92 chunk(s), 12/16 column(s)"
"8435e83560f8f245"|"0x7fb869ca595018a73eadac425cd6"|"NULL"|"NULL"|"orders"|0|6|23|1500000|33383|"GetTable (orders) pruned: 0/23 chunk(s), 6/9 column(s)"
"8435e83560f8f245"|"0x7fb869ca5330822aa377e82bcffe"|"NULL"|"NULL"|"customer"|0|1|3|150000|15559|"GetTable (customer) pruned: 0/3 chunk(s), 1/8 column(s)"
"8435e83560f8f245"|"0x7fb869ca4290c61445841b99d160"|"NULL"|"NULL"|"nation"|0|2|1|25|5678|"GetTable (nation) pruned: 0/1 chunk(s), 2/4 column(s)"
"cef4c9967881e406"|"0x7fb870db0dd0f3a5082abf20904b"|"NULL"|"NULL"|"lineitem"|0|11|92|6001215|119527|"GetTable (lineitem) pruned: 0/92 chunk(s), 11/16 column(s)"
"cef4c9967881e406"|"0x7fb870db1850b8cbf259dc221ec9"|"NULL"|"NULL"|"supplier"|0|5|1|10000|3528|"GetTable (supplier) pruned: 0/1 chunk(s), 5/7 column(s)"
"cef4c9967881e406"|"0x7fb879e3a6f0c61445841b99d160"|"NULL"|"NULL"|"nation"|0|2|1|25|2307|"GetTable (nation) pruned: 0/1 chunk(s), 2/4 column(s)"
"cef4c9967881e406"|"0x7fb879e3adf0c5496a26d40a496f"|"NULL"|"NULL"|"orders"|0|7|23|1500000|30298|"GetTable (orders) pruned: 0/23 chunk(s), 7/9 column(s)"
"cef4c9967881e406"|"0x7fb879e3aed072c2c8899ee07381"|"NULL"|"NULL"|"customer"|0|6|3|150000|7192|"GetTable (customer) pruned: 0/3 chunk(s), 6/8 column(s)"
"ba40a0751c8fa1d2"|"0x7fb868eed87070d2f3fa6ab46cdc"|"NULL"|"NULL"|"supplier"|0|3|1|10000|6252|"GetTable (supplier) pruned: 0/1 chunk(s), 3/7 column(s)"
"ba40a0751c8fa1d2"|"0x7fb868eedbf01ffe5ea0ab36463d"|"NULL"|"NULL"|"partsupp"|0|2|13|800000|13546|"GetTable (partsupp) pruned: 0/13 chunk(s), 2/5 column(s)"
"ba40a0751c8fa1d2"|"0x7fb875ad9510ae16e8eb33360359"|"NULL"|"NULL"|"part"|0|7|4|200000|6244|"GetTable (part) pruned: 0/4 chunk(s), 7/9 column(s)"
"ba40a0751c8fa1d2"|"0x7fb868f89710a24853058028fe4"|"NULL"|"NULL"|"lineitem"|0|12|92|6001215|117361|"GetTable (lineitem) pruned: 0/92 chunk(s), 12/16 column(s)"
"ba40a0751c8fa1d2"|"0x7fb868eed790c61445841b99d160"|"NULL"|"NULL"|"nation"|0|2|1|25|7114|"GetTable (nation) pruned: 0/1 chunk(s), 2/4 column(s)"
"15224438c25f5876"|"0x7fb86fdca4d01ffe5ea0ab36463d"|"NULL"|"NULL"|"partsupp"|0|2|13|800000|30608|"GetTable (partsupp) pruned: 0/13 chunk(s), 2/5 column(s)"
"15224438c25f5876"|"0x7fb86fdca07044df8001c1284d65"|"NULL"|"NULL"|"lineitem"|0|10|92|6001215|168454|"GetTable (lineitem) pruned: 0/92 chunk(s), 10/16 column(s)"
"15224438c25f5876"|"0x7fb86fdca150ae16e8eb33360359"|"NULL"|"NULL"|"part"|0|7|4|200000|7583|"GetTable (part) pruned: 0/4 chunk(s), 7/9 column(s)"
"15224438c25f5876"|"0x7fb8678a9a50c5496a26d40a496f"|"NULL"|"NULL"|"orders"|0|7|23|1500000|42518|"GetTable (orders) pruned: 0/23 chunk(s), 7/9 column(s)"
"15224438c25f5876"|"0x7fb8678aa230b8cbf259dc221ec9"|"NULL"|"NULL"|"supplier"|0|5|1|10000|13161|"GetTable (supplier) pruned: 0/1 chunk(s), 5/7 column(s)"
"15224438c25f5876"|"0x7fb86fdcaf50c61445841b99d160"|"NULL"|"NULL"|"nation"|0|2|1|25|4360|"GetTable (nation) pruned: 0/1 chunk(s), 2/4 column(s)"
"c30145b34bbe2408"|"0x7fb869ca1350a24853058028fe4"|"NULL"|"NULL"|"lineitem"|0|12|92|6001215|171699|"GetTable (lineitem) pruned: 0/92 chunk(s), 12/16 column(s)"
"c30145b34bbe2408"|"0x7fb869ca0d3018a73eadac425cd6"|"NULL"|"NULL"|"orders"|0|6|23|1500000|34401|"GetTable (orders) pruned: 0/23 chunk(s), 6/9 column(s)"
"c30145b34bbe2408"|"0x7fb869ca0e10822aa377e82bcffe"|"NULL"|"NULL"|"customer"|0|1|3|150000|18336|"GetTable (customer) pruned: 0/3 chunk(s), 1/8 column(s)"
"c30145b34bbe2408"|"0x7fb869ca0ef0c61445841b99d160"|"NULL"|"NULL"|"nation"|0|2|1|25|4462|"GetTable (nation) pruned: 0/1 chunk(s), 2/4 column(s)"
"a5a64d941c31362"|"0x7fb869ca0470a24853058028fe4"|"NULL"|"NULL"|"lineitem"|0|12|92|6001215|166795|"GetTable (lineitem) pruned: 0/92 chunk(s), 12/16 column(s)"
"a5a64d941c31362"|"0x7fb869ca039018a73eadac425cd6"|"NULL"|"NULL"|"orders"|0|6|23|1500000|32721|"GetTable (orders) pruned: 0/23 chunk(s), 6/9 column(s)"
"a5a64d941c31362"|"0x7fb869ca0fd0822aa377e82bcffe"|"NULL"|"NULL"|"customer"|0|1|3|150000|18822|"GetTable (customer) pruned: 0/3 chunk(s), 1/8 column(s)"
"a5a64d941c31362"|"0x7fb869ca10b0c61445841b99d160"|"NULL"|"NULL"|"nation"|0|2|1|25|5589|"GetTable (nation) pruned: 0/1 chunk(s), 2/4 column(s)"
"2c80bac730da41d"|"0x7fb873ae9f90a24853058028fe4"|"NULL"|"NULL"|"lineitem"|0|12|92|6001215|115090|"GetTable (lineitem) pruned: 0/92 chunk(s), 12/16 column(s)"
"3337dfe32c9732e2"|"0x7fb8634ab710ff930f234bb2d962"|"NULL"|"NULL"|"partsupp"|0|3|13|800000|18854|"GetTable (partsupp) pruned: 0/13 chunk(s), 3/5 column(s)"
"3337dfe32c9732e2"|"0x7fb8634aba90906b0df4bc884182"|"NULL"|"NULL"|"part"|0|5|4|200000|7376|"GetTable (part) pruned: 0/4 chunk(s), 5/9 column(s)"
"3337dfe32c9732e2"|"0x7fb8633c4f70b8cbf259dc221ec9"|"NULL"|"NULL"|"supplier"|0|5|1|10000|4871|"GetTable (supplier) pruned: 0/1 chunk(s), 5/7 column(s)"
"81d3a1fad4d6aacc"|"0x7fb86fd01e50a24853058028fe4"|"NULL"|"NULL"|"lineitem"|0|12|92|6001215|180703|"GetTable (lineitem) pruned: 0/92 chunk(s), 12/16 column(s)"
"81d3a1fad4d6aacc"|"0x7fb86fd01f3018a73eadac425cd6"|"NULL"|"NULL"|"orders"|0|6|23|1500000|35054|"GetTable (orders) pruned: 0/23 chunk(s), 6/9 column(s)"
"81d3a1fad4d6aacc"|"0x7fb86fd01c90822aa377e82bcffe"|"NULL"|"NULL"|"customer"|0|1|3|150000|17690|"GetTable (customer) pruned: 0/3 chunk(s), 1/8 column(s)"
"81d3a1fad4d6aacc"|"0x7fb86fd01d70c61445841b99d160"|"NULL"|"NULL"|"nation"|0|2|1|25|4973|"GetTable (nation) pruned: 0/1 chunk(s), 2/4 column(s)"
"40f9d26e7b074525"|"0x7fb81e3f0b5070d2f3fa6ab46cdc"|"NULL"|"NULL"|"supplier"|0|3|1|10000|6141|"GetTable (supplier) pruned: 0/1 chunk(s), 3/7 column(s)"
"40f9d26e7b074525"|"0x7fb81e3f0c301ffe5ea0ab36463d"|"NULL"|"NULL"|"partsupp"|0|2|13|800000|12684|"GetTable (partsupp) pruned: 0/13 chunk(s), 2/5 column(s)"
"40f9d26e7b074525"|"0x7fb81e3f0ed0ae16e8eb33360359"|"NULL"|"NULL"|"part"|0|7|4|200000|5986|"GetTable (part) pruned: 0/4 chunk(s), 7/9 column(s)"
"40f9d26e7b074525"|"0x7fb81e3f0450a24853058028fe4"|"NULL"|"NULL"|"lineitem"|0|12|92|6001215|116446|"GetTable (lineitem) pruned: 0/92 chunk(s), 12/16 column(s)"
"40f9d26e7b074525"|"0x7fb81e3f0df0c61445841b99d160"|"NULL"|"NULL"|"nation"|0|2|1|25|6206|"GetTable (nation) pruned: 0/1 chunk(s), 2/4 column(s)"
"5a90d8d116963903"|"0x7fb86fd00090a24853058028fe4"|"NULL"|"NULL"|"lineitem"|0|12|92|6001215|171617|"GetTable (lineitem) pruned: 0/92 chunk(s), 12/16 column(s)"
"5a90d8d116963903"|"0x7fb86fcfffb018a73eadac425cd6"|"NULL"|"NULL"|"orders"|0|6|23|1500000|33653|"GetTable (orders) pruned: 0/23 chunk(s), 6/9 column(s)"
"5a90d8d116963903"|"0x7fb86fd004f0822aa377e82bcffe"|"NULL"|"NULL"|"customer"|0|1|3|150000|17329|"GetTable (customer) pruned: 0/3 chunk(s), 1/8 column(s)"
"5a90d8d116963903"|"0x7fb86fd005d0c61445841b99d160"|"NULL"|"NULL"|"nation"|0|2|1|25|4518|"GetTable (nation) pruned: 0/1 chunk(s), 2/4 column(s)"
"efce1066834f8223"|"0x7fb87450a3d0a24853058028fe4"|"NULL"|"NULL"|"lineitem"|0|12|92|6001215|194516|"GetTable (lineitem) pruned: 0/92 chunk(s), 12/16 column(s)"
