QUERY_HASH|OPERATOR_HASH|LEFT_INPUT_OPERATOR_HASH|RIGHT_INPUT_OPERATOR_HASH|INPUT_CHUNK_COUNT|INPUT_ROW_COUNT|OUTPUT_CHUNK_COUNT|OUTPUT_ROW_COUNT|RUNTIME_NS
3ea7b045dd721af|0x7fb87b2fe1307724a5f3931b01be|0x7fb87b234710ae16e8eb33360359|NULL|4|4|4|200000|7172
5a2b866c50993af7|0x7fb87157f3b0f5e63503045c6bc2|0x7fb8783114d04952f26a02935ff1|NULL|3|3|3|150000|11628
5a2b866c50993af7|0x7fb87041ca10825a53d3e5ac9748|0x7fb878311d90e6c3787bece24556|NULL|23|23|23|1500000|33314
17ec44c1749bf778|0x7fb87b2a9cd0790a19465a40ca1|0x7fb87afaa0d01579effc69b49ee0|NULL|92|92|92|77317|137199
17ec44c1749bf778|0x7fb87b2a9d707724a5f3931b01be|0x7fb87afaa370ae16e8eb33360359|NULL|4|4|4|200000|7225
3cb753cf8eadaf9d|0x7fb866df77d0eda70c234836bf30|0x7fb86a962d5044e80936bb2f7312|NULL|3|3|3|150000|13889
3cb753cf8eadaf9d|0x7fb866df7050c519426014024c54|0x7fb86a962f10d720895957b6996f|NULL|23|23|23|1484051|69269
6915007f60da0291|0x7fb87aead3708af724a4febf1472|0x7fb87ac643f05ec1227843780b50|NULL|184|184|184|259138|256777
6915007f60da0291|0x7fb87aeacdd0a0a8536ea5a67b2a|0x7fb87b0354506c357137569f8545|NULL|23|23|23|29353|32394
f9a75b2a7796cee7|0x7fb86b645150eda70c234836bf30|0x7fb86c43b85044e80936bb2f7312|NULL|3|3|3|150000|12549
f9a75b2a7796cee7|0x7fb86ad4b890b51a3c3195ae7c30|0x7fb86c43ba10d273ca0e7d43bbc9|NULL|23|23|23|1483868|75698
9634c0f014c487c|0x7fb87417ee90fc379085d0e96105|0x7fb86be26af03dfaeec4cdb86303|NULL|23|23|23|57420|33419
9634c0f014c487c|0x7fb87417f7f031c3b8aa7bfb3ffd|0x7fb86be26f5033018fa6b38fa050|NULL|92|92|92|114929|119315
9634c0f014c487c|0x7fb874185d30e2022fa0ce356468|0x7fb86be27030822aa377e82bcffe|NULL|3|3|3|150000|9096
9634c0f014c487c|0x7fb874185bf0b930cb12c0e46865|0x7fb86be27110c61445841b99d160|NULL|1|1|1|25|2640
662d5e8984be9f4d|0x7fb862089eb0eda70c234836bf30|0x7fb86208147044e80936bb2f7312|NULL|3|3|3|150000|12365
662d5e8984be9f4d|0x7fb8620895f0222253b80461d3f0|0x7fb8620812b057d3d4942d9d5f22|NULL|23|23|23|1484015|267492
56dbd2db920fd364|0x7fb861cbea70eda70c234836bf30|0x7fb861c9665044e80936bb2f7312|NULL|3|3|3|150000|13667
56dbd2db920fd364|0x7fb861cbe2f0b448bb63a5c63e7f|0x7fb861c96810d8cd64feb128a40|NULL|23|23|23|1483787|75569
5306fb25b39c9a13|0x7fb8601f6490eda70c234836bf30|0x7fb86c30103044e80936bb2f7312|NULL|3|3|3|150000|14363
5306fb25b39c9a13|0x7fb8601f5bd0e6ecc51d186b9347|0x7fb86c300e70fccabb365e3f45f7|NULL|23|23|23|1483918|73245
6e53188167b613eb|0x7fb861cb687016e678ca7bd2c383|0x7fb82f251f50b8e0aa8c775558|NULL|4|4|4|195|5971
6e53188167b613eb|0x7fb861cb7f907e08fdfab3b7d8cd|0x7fb82f251930558d2a843bf28efc|NULL|92|92|92|5959|106047
88cb5050186f8f56|0x7fb8753e87f08ff0dedfd0e1e18a|0x7fb87b1afe50bf0b6b7646f0ec17|NULL|184|184|184|259810|255937
88cb5050186f8f56|0x7fb8753e83905c99dedd6ce45c31|0x7fb8787c1070c887b0db2ceaf8c2|NULL|23|23|23|29132|32578
5ceda49d87596ad1|0x7fb8783222501c6972c052226069|0x7fb874408630b8cbf259dc221ec9|NULL|1|1|1|10000|4034
5ceda49d87596ad1|0x7fb8745de8f04003739033bf19d7|0x7fb875add7905a5da9369440764e|NULL|1|1|1|1|2528
5ceda49d87596ad1|0x7fb8745df11097c3961ec895972b|0x7fb875add870d8927f7b4c2f3ea0|NULL|1|1|1|5|2876
5ceda49d87596ad1|0x7fb8745df070c73f922817993d73|0x7fb875add950395d76ffeb9666fa|NULL|3|3|3|29904|4918
5ceda49d87596ad1|0x7fb8745df570edba09d4f40d6a96|0x7fb875addcd0dd0bdcd630d82bed|NULL|4|4|4|1311|5668
5ceda49d87596ad1|0x7fb8745df1b0d6ef7ae4328f4f46|0x7fb875adddb0e8fd11d45461dde9|NULL|92|92|92|39586|157154
5ceda49d87596ad1|0x7fb8745de7b0da08ed6110201ec7|0x7fb875ade0508847e852e10b1af6|NULL|23|23|23|11991|31210
5ceda49d87596ad1|0x7fb8745dead075ef260683609e83|0x7fb8744087f015f336fbe2aacac2|NULL|1|1|1|25|5468
b7716a7fca47124c|0x7fb87b1b02b0dc639c9d46542842|0x7fb87b1addd01b4229c776fc1d3e|NULL|184|184|184|260098|255563
b7716a7fca47124c|0x7fb87b1b02102fe6b9264207ed8f|0x7fb876f5e2508b63fd4ceab17eb1|NULL|23|23|23|29283|36587
30dd4d78749f665f|0x7fb874187950a4f63932655390a0|0x7fb8753e64f0cc97f6953661a52b|NULL|184|184|184|260464|256028
30dd4d78749f665f|0x7fb8753e8cf06790ce1093c4c99|0x7fb87803cad06bed4be2446cc41f|NULL|23|23|23|29233|34197
2128f939393ffa99|0x7fb87a06f530a3d4ea76e370fb9a|0x7fb870d22fd0aa5092b748e6e8f0|NULL|4|4|4|10804|10411
2128f939393ffa99|0x7fb87a51c45081428d64d4a2c843|0x7fb87a256c9017758c6d513d142e|NULL|92|92|92|323844|236121
2128f939393ffa99|0x7fb87a51c6d03315076d847a0f14|0x7fb87a256e50ccc6ce90d8025bad|NULL|4|4|4|43216|5369460
2128f939393ffa99|0x7fb87a51b9b072349c70defd540c|0x7fb8712a8630c5496a26d40a496f|NULL|23|23|23|1500000|36941
2128f939393ffa99|0x7fb87a51e0701c6972c052226069|0x7fb87462b170b8cbf259dc221ec9|NULL|1|1|1|10000|8282
2128f939393ffa99|0x7fb87a51c310b930cb12c0e46865|0x7fb874629e30c61445841b99d160|NULL|1|1|1|25|2015
b2779cbfec72d65d|0x7fb860623250eda70c234836bf30|0x7fb8642e29d044e80936bb2f7312|NULL|3|3|3|150000|12596
b2779cbfec72d65d|0x7fb860622990e59a9ef648d09fb7|0x7fb8642e2b90949c056bf9341162|NULL|23|23|23|1483804|78225
3012fb55b76cf808|0x7fb87964efb056206023a7a8813a|0x7fb8625a4010d3c147e4aeec297f|NULL|23|23|23|729413|77272
3012fb55b76cf808|0x7fb87964ef10301529f11d0c4c51|0x7fb8623ae5909068706fddb1115c|NULL|1|1|1|1|2658
3012fb55b76cf808|0x7fb87964e330d0c96e244fcea16e|0x7fb8623ae67085ff7fe8d5d34f67|NULL|1|1|1|396|3843
3012fb55b76cf808|0x7fb87964e0b06dbad91c41ef26e|0x7fb8625a40f04e5bb623174e68a2|NULL|92|92|92|238204|392762
3012fb55b76cf808|0x7fb87964e8d0570f06a2c23c3dbf|0x7fb86981c450ac7c3db9604f0120|NULL|2|2|2|712425|54896541
66a2531bd4b0bf27|0x7fb87b06fdd055253a818ae39d59|0x7fb87503b9704d78923bb8d68b9a|NULL|23|23|23|721026|39813
66a2531bd4b0bf27|0x7fb87b070af0f8f2ee3df2f27719|0x7fb87503a5503751c27567ca6cfe|NULL|3|3|3|29752|4815
66a2531bd4b0bf27|0x7fb87b070870c394ad3ce7d610cc|0x7fb87503ac50e9b74b41c456801f|NULL|2|2|2|30262|5705380
118eb592898739be|0x7fb8780e4570e2b1e1b867364328|0x7fb87aeacd309ea4d7761a123894|NULL|184|184|184|261516|263120
118eb592898739be|0x7fb8780e3fd0393840eed5173605|0x7fb87b36cbd0eecf7c6a8b89df36|NULL|23|23|23|29191|34109
cae48c81481802f4|0x7fb879baccb05135e9eb0c8fdaf7|0x7fb8783c7d10906b0df4bc884182|NULL|4|4|4|200000|12057
cae48c81481802f4|0x7fb879babf9059cae943fe6cd0b0|0x7fb8783c6d50faf020b9769f9c36|NULL|92|92|92|527|142053
e746d56381731f4f|0x7fb877910f90b87204289e4e6072|0x7fb87a9a7af03e5ebc0eadd41afc|NULL|23|23|23|55266|60996
e746d56381731f4f|0x7fb87791243014ca868193d47816|0x7fb87a9a7cb0b167c3fe4b43fc7f|NULL|92|92|92|221643|179367
db9f11d764d89275|0x7fb86ad4ad5015de01ad4290c460|0x7fb867cfab30a725059d4585118|NULL|4|4|4|192025|11796
db9f11d764d89275|0x7fb86ad4bcf04434ab54a985957|0x7fb8642e5ad0cf8237e9a6451b00|NULL|13|13|13|118200|19598
db9f11d764d89275|0x7fb86ad4a5301c6972c052226069|0x7fb8642e38b0b8cbf259dc221ec9|NULL|1|1|1|10000|2282
a756e4263a550cbb|0x7fb87a21e570932e458652412a51|0x7fb8712ab110dfdd1c4f2f825c5b|NULL|4|4|4|10938|11691
a756e4263a550cbb|0x7fb87a51b690ce5f03db4b83a0a3|0x7fb8712aa070a5d91f354eaa12fc|NULL|92|92|92|328622|226959
a756e4263a550cbb|0x7fb879b76190d267180c4e319543|0x7fb8712ab490fe1a1ec7134fe4e9|NULL|4|4|4|43752|5223495
a756e4263a550cbb|0x7fb879b7605072349c70defd540c|0x7fb8712aaaf0c5496a26d40a496f|NULL|23|23|23|1500000|35715
a756e4263a550cbb|0x7fb879b75f101c6972c052226069|0x7fb86d31e610b8cbf259dc221ec9|NULL|1|1|1|10000|8099
a756e4263a550cbb|0x7fb879b765f0b930cb12c0e46865|0x7fb8712aa930c61445841b99d160|NULL|1|1|1|25|2238
84d5a9fe52d660cd|0x7fb8780e335067fc268b3420daff|0x7fb8592bdb5086299945ca8c4f7b|NULL|1|1|1|1|3222
84d5a9fe52d660cd|0x7fb8780e1c30839f6baacff6b617|0x7fb8592bdc304f655f3fb7ce00f2|NULL|1|1|1|405|2917
84d5a9fe52d660cd|0x7fb874671c10e507a47786eaa8ab|0x7fb8592bddf0c3dbc8d80c514a|NULL|13|13|13|32400|20837
e0774dca1f95d09b|0x7fb87ac638b0acba4ef27192906d|0x7fb86be2a2f0c6f7c47b997a40d3|NULL|1|1|1|1|3128
e0774dca1f95d09b|0x7fb87ac626903b704456264e4f78|0x7fb86be2a3d0f5d4473c1d465e50|NULL|1|1|1|402|2879
e0774dca1f95d09b|0x7fb87466f230bd5b69c06f29cde4|0x7fb86be2a4b07c23be217bd5ab2a|NULL|13|13|13|32160|21748
8435e83560f8f245|0x7fb87417ccd0ee8cc5c5d42a2956|0x7fb869ca5a303a64712b918e9576|NULL|23|23|23|57311|33019
8435e83560f8f245|0x7fb87417f110c14d21d1c364626d|0x7fb869ca541060cabc0cc72e9649|NULL|92|92|92|114700|122033
8435e83560f8f245|0x7fb87417e210e2022fa0ce356468|0x7fb869ca5330822aa377e82bcffe|NULL|3|3|3|150000|8310
8435e83560f8f245|0x7fb87417ea30b930cb12c0e46865|0x7fb869ca4290c61445841b99d160|NULL|1|1|1|25|2789
cef4c9967881e406|0x7fb87964f870b930cb12c0e46865|0x7fb879e3a6f0c61445841b99d160|NULL|1|1|1|25|5085
cef4c9967881e406|0x7fb87964fcd03a44b0d8b30435d0|0x7fb879e3ab50844c49a4a81fdb4c|NULL|1|1|1|773|3630
cef4c9967881e406|0x7fb879651030b4b1e88b4f4288a5|0x7fb879e3b090ca19c3fab9a596f0|NULL|3|3|3|11937|15220
cef4c9967881e406|0x7fb87964f9109ac43229d2c010bc|0x7fb879e3b2506832666c07b58c30|NULL|23|23|23|119189|33600
cef4c9967881e406|0x7fb87964fc308d449c5cb2fe3772|0x7fb879e3b6b0d2009c6b95172384|NULL|2|2|2|11345|2366735
ba40a0751c8fa1d2|0x7fb878c9e5f0ac4267fe4f54c91a|0x7fb868eec6101ac5483195eb0d9|NULL|4|4|4|2222|6876
ba40a0751c8fa1d2|0x7fb878c9fc70bd9576c88ba813b0|0x7fb868f50830f58d6b74f29b0d93|NULL|13|13|13|8888|19177
ba40a0751c8fa1d2|0x7fb878e74450ff3ef5f2259f5a03|0x7fb875ad9350a9fce9dddb052740|NULL|92|92|92|10198|117327
ba40a0751c8fa1d2|0x7fb878c9f63024cb4c9bbf05648a|0x7fb868f8a350daa22af2addccf9d|NULL|1|1|1|1|3408
ba40a0751c8fa1d2|0x7fb878e72dd01948325782cbcc7d|0x7fb868f8a51033205ea5b1402387|NULL|1|1|1|173|3111
15224438c25f5876|0x7fb87a51cc70a2842c50a89f290c|0x7fb86fdca23092c22bd0c86b9025|NULL|4|4|4|11150|11774
15224438c25f5876|0x7fb879b77b30fbf34ade267c2015|0x7fb8678a9eb0bc368d6bab19f1eb|NULL|92|92|92|334621|247424
15224438c25f5876|0x7fb879b787b0cce6b632531b07f8|0x7fb8678a9b30209e5c15aaf20e08|NULL|4|4|4|44600|5294971
15224438c25f5876|0x7fb879b7709072349c70defd540c|0x7fb8678a9a50c5496a26d40a496f|NULL|23|23|23|1500000|39468
15224438c25f5876|0x7fb879b772701c6972c052226069|0x7fb8678aa230b8cbf259dc221ec9|NULL|1|1|1|10000|7837
15224438c25f5876|0x7fb879b78a30b930cb12c0e46865|0x7fb86fdcaf50c61445841b99d160|NULL|1|1|1|25|2104
c30145b34bbe2408|0x7fb879b79570e77e488d2e922b93|0x7fb869ca1c10514902343e561e94|NULL|23|23|23|56934|32981
c30145b34bbe2408|0x7fb87417d0907210955ca11ad7e4|0x7fb869ca1eb039c48f0c9adcbaa3|NULL|92|92|92|114028|121218
c30145b34bbe2408|0x7fb874185b50e2022fa0ce356468|0x7fb869ca0e10822aa377e82bcffe|NULL|3|3|3|150000|9969
c30145b34bbe2408|0x7fb874185e70b930cb12c0e46865|0x7fb869ca0ef0c61445841b99d160|NULL|1|1|1|25|3512
a5a64d941c31362|0x7fb879b78df07797fd4dd09259f4|0x7fb869ca0710610ba346593d4451|NULL|23|23|23|57683|32788
a5a64d941c31362|0x7fb87417c73056f59649f59ef9c1|0x7fb869ca1190f29e32de94bb7fb8|NULL|92|92|92|115282|117047
a5a64d941c31362|0x7fb87417ddb0e2022fa0ce356468|0x7fb869ca0fd0822aa377e82bcffe|NULL|3|3|3|150000|10184
a5a64d941c31362|0x7fb87417fcf0b930cb12c0e46865|0x7fb869ca10b0c61445841b99d160|NULL|1|1|1|25|2428
2c80bac730da41d|0x7fb879c5d8d0c998224e80e4ccd6|0x7fb873aea2302d8e3ba3eab642cf|NULL|92|92|92|79458|113281
3337dfe32c9732e2|0x7fb8606231b0222f955febf05e17|0x7fb8633c4bf01e5771782ded4db1|NULL|4|4|4|192082|11122
3337dfe32c9732e2|0x7fb86064173011381bbd7e5c5b15|0x7fb86c2cee50d1e0548420badcfe|NULL|13|13|13|118996|18347
3337dfe32c9732e2|0x7fb8606236b01c6972c052226069|0x7fb8633c4f70b8cbf259dc221ec9|NULL|1|1|1|10000|2840
81d3a1fad4d6aacc|0x7fb87a6429b0371b055db7c3a9c4|0x7fb86fcffed0cdace8ff13f67469|NULL|23|23|23|55973|32393
81d3a1fad4d6aacc|0x7fb87a6438b05ecc24156b6c1ff5|0x7fb86fcffd10923f6b1d43abb2de|NULL|92|92|92|111987|117677
81d3a1fad4d6aacc|0x7fb87a645430e2022fa0ce356468|0x7fb86fd01c90822aa377e82bcffe|NULL|3|3|3|150000|9280
81d3a1fad4d6aacc|0x7fb879b77630b930cb12c0e46865|0x7fb86fd01d70c61445841b99d160|NULL|1|1|1|25|2677
40f9d26e7b074525|0x7fb874eca85055f902801ca77375|0x7fb81e3f0fb0eb434886866cfb24|NULL|4|4|4|2169|6276
40f9d26e7b074525|0x7fb874eca3f078f34da53ee81646|0x7fb81e3f06107b9380cb3a06201b|NULL|13|13|13|8676|18420
40f9d26e7b074525|0x7fb874ecaa30b178aa19375bc39c|0x7fb81e3f099018d5db960a0927bb|NULL|92|92|92|9836|114108
40f9d26e7b074525|0x7fb874ec9d10901b3dea2dbd2ea7|0x7fb81e3f0d10a7c73b08118efc42|NULL|1|1|1|4431|4386
40f9d26e7b074525|0x7fb874eca2106463ba78b15b4135|0x7fb81e3f1170711864cbe134a49|NULL|1|1|1|1|2297
5a90d8d116963903|0x7fb87a2b42f015c7d0724338f41b|0x7fb86fd00330f4025a6d8137c4dd|NULL|23|23|23|57332|32926
5a90d8d116963903|0x7fb87a642370c67d5b1d262082e6|0x7fb86fd006b0434ead921bdb5f39|NULL|92|92|92|115292|119637
5a90d8d116963903|0x7fb879b764b0e2022fa0ce356468|0x7fb86fd004f0822aa377e82bcffe|NULL|3|3|3|150000|10573
5a90d8d116963903|0x7fb87a641f10b930cb12c0e46865|0x7fb86fd005d0c61445841b99d160|NULL|1|1|1|25|2916
efce1066834f8223|0x7fb87a2b2f908c24537177cd3f8d|0x7fb86fcfb5505f2417100855b3c|NULL|23|23|23|57093|32739
efce1066834f8223|0x7fb87a2b39905e032da03f74758e|0x7fb87450a590fc0f1ec7578e14a7|NULL|92|92|92|114508|122017
efce1066834f8223|0x7fb87a6445d0e2022fa0ce356468|0x7fb87450a210822aa377e82bcffe|NULL|3|3|3|150000|9420
efce1066834f8223|0x7fb87a2b35d0b930cb12c0e46865|0x7fb87450a2f0c61445841b99d160|NULL|1|1|1|25|2389
d1227321cd540d48|0x7fb87794efb0343f83ef9c79a1a9|0x7fb8778b9a90397e133d7a33cc4f|NULL|23|23|23|55784|58364
d1227321cd540d48|0x7fb8779513508a047722808754a6|0x7fb8778b98d02c7203c2963d7a1|NULL|92|92|92|222956|159907
9cc53c7ab139ffd|0x7fb87a2b0dd05a3deb1f55c074ad|0x7fb86d31c77020d965a215628987|NULL|4|4|4|10826|11095
9cc53c7ab139ffd|0x7fb87a2b231085de75a4f279d668|0x7fb86fcfb3909a3719e0313c6da5|NULL|92|92|92|325847|223398
9cc53c7ab139ffd|0x7fb87466f050e2c49f5071a157b8|0x7fb86fcfb0f02e68b7df8c4ba89|NULL|4|4|4|43304|5283915
9cc53c7ab139ffd|0x7fb87a64287072349c70defd540c|0x7fb86fcfb010c5496a26d40a496f|NULL|23|23|23|1500000|37252
9cc53c7ab139ffd|0x7fb87a6427d01c6972c052226069|0x7fb8771e4910b8cbf259dc221ec9|NULL|1|1|1|10000|8667
9cc53c7ab139ffd|0x7fb87466f0f0b930cb12c0e46865|0x7fb8771e4750c61445841b99d160|NULL|1|1|1|25|2362
b7faeb4b742ae053|0x7fb87a2b07909d891b2555675f2|0x7fb8771e3950575deabcd65ca711|NULL|4|4|4|10736|10597
b7faeb4b742ae053|0x7fb87a2b3350759fe4684e1373b4|0x7fb8771e34f0c3a173e58b640a0f|NULL|92|92|92|321610|218920
b7faeb4b742ae053|0x7fb87a2b09706066bf644e30c42f|0x7fb8678ad790ec6ff72ae1a16277|NULL|4|4|4|42944|5304854
b7faeb4b742ae053|0x7fb87a2b0ab072349c70defd540c|0x7fb8678acc30c5496a26d40a496f|NULL|23|23|23|1500000|35314
b7faeb4b742ae053|0x7fb87a2b0b501c6972c052226069|0x7fb8771e3e90b8cbf259dc221ec9|NULL|1|1|1|10000|7843
b7faeb4b742ae053|0x7fb87a2b3e90b930cb12c0e46865|0x7fb8771e3cd0c61445841b99d160|NULL|1|1|1|25|2152
6b23c71e7c5e84aa|0x7fb87b310c90425474367b3e29d7|0x7fb86973d95083b9c9e39d43865f|NULL|4|4|4|783|6471
6b23c71e7c5e84aa|0x7fb87b310dd07cbe953eee29d34e|0x7fb86973bab085fab8dede0c9a79|NULL|1|1|1|1|2633
6b23c71e7c5e84aa|0x7fb7b90ca350788f2215c6bf81b1|0x7fb86973b9d08d87ee008b6cc1ed|NULL|1|1|1|5|2697
6b23c71e7c5e84aa|0x7fb7b90ca170aa8c158e73ec2548|0x7fb8697394308cf0345213e91b02|NULL|1|1|1|1955|3825
6b23c71e7c5e84aa|0x7fb87b310bf0d4da375e07d88907|0x7fb86973d5d090223c92fa10bb4|NULL|13|13|13|640|17124
6b23c71e7c5e84aa|0x7fb87a9f5e706bd29856cdc2b1fc|0x7fb8697395f0c1d4b4e7b0815852|NULL|13|13|13|640|14964
ea18fd2c93881412|0x7fb86f9ada70bbda60b510e99fd5|0x7fb86f29d5d09750036512171a58|NULL|92|92|92|226622|126744
ea18fd2c93881412|0x7fb86f9ac5d0e99504188b0ea20f|0x7fb86a95f9b070d2f3fa6ab46cdc|NULL|1|1|1|10000|6246
1328b97b607e025c|0x7fb87a51b230f5e63503045c6bc2|0x7fb87b36ae104952f26a02935ff1|NULL|3|3|3|150000|12822
1328b97b607e025c|0x7fb87ac64d50825a53d3e5ac9748|0x7fb87b036950e6c3787bece24556|NULL|23|23|23|1500000|38810
55a5ca88daac27a8|0x7fb87ad663505d473ed6b2f43840|0x7fb85e9f32d0292ebc4a499317b8|NULL|1|1|1|1|3118
55a5ca88daac27a8|0x7fb874671990675d660d937a7b80|0x7fb85e9f33b096e8f58027b1cbb8|NULL|1|1|1|420|2893
55a5ca88daac27a8|0x7fb87418975054c811b9d378ae34|0x7fb85e9f3490d96b0329adec159d|NULL|13|13|13|33600|19780
3e9a00190a0f84bc|0x7fb87a5cd2905490398080e9bdcf|0x7fb86d31e5304059d5779bea0e90|NULL|4|4|4|10842|10326
3e9a00190a0f84bc|0x7fb87a5d1070f3ba57963ab6a752|0x7fb86fdcd870183ed43cc4ab804d|NULL|92|92|92|325201|229748
3e9a00190a0f84bc|0x7fb879b750b06b20e76d5d4fe138|0x7fb86fdcced0c104c58c342a609c|NULL|4|4|4|43368|5305155
3e9a00190a0f84bc|0x7fb87a5d1f7072349c70defd540c|0x7fb86fdcd790c5496a26d40a496f|NULL|23|23|23|1500000|36694
3e9a00190a0f84bc|0x7fb87a5d1ed01c6972c052226069|0x7fb86fdccfb0b8cbf259dc221ec9|NULL|1|1|1|10000|8678
3e9a00190a0f84bc|0x7fb879b75470b930cb12c0e46865|0x7fb86d31e7d0c61445841b99d160|NULL|1|1|1|25|1969
57be62ce456e60ea|0x7fb87a51ba50cd078f26a20ac90b|0x7fb86d31a1d0c1149deb70793249|NULL|4|4|4|10936|15059
57be62ce456e60ea|0x7fb87a51cef068cfac9d57c61dc1|0x7fb8712ae67019539a8788454b8|NULL|92|92|92|327911|224401
57be62ce456e60ea|0x7fb879b771d0429b00cffa58b2a3|0x7fb86d31a7f0a7e9579c551eb82e|NULL|4|4|4|43744|5271745
57be62ce456e60ea|0x7fb879b7713072349c70defd540c|0x7fb8712aef30c5496a26d40a496f|NULL|23|23|23|1500000|35148
57be62ce456e60ea|0x7fb879b76ff01c6972c052226069|0x7fb8712ae3d0b8cbf259dc221ec9|NULL|1|1|1|10000|8929
57be62ce456e60ea|0x7fb879b77450b930cb12c0e46865|0x7fb8712ae4b0c61445841b99d160|NULL|1|1|1|25|1923
7942b5823d376cd|0x7fb8773047b043641cb803f6656c|0x7fb879b8c5b095a91aaafb149af7|NULL|3|3|3|215|4948
7942b5823d376cd|0x7fb877303db08074bb0367d1b257|0x7fb879b8beb0d5325e459e6ee52|NULL|92|92|92|6576|126079
1d4f00a2fdf372d0|0x7fb87a21dfd05704a6d9e02e217|0x7fb8712a80105d7a0faa66e7dd4f|NULL|4|4|4|10836|10045
1d4f00a2fdf372d0|0x7fb87a51d67065467e0b46c4a480|0x7fb870d2867082897d56ec77af17|NULL|92|92|92|324587|239788
1d4f00a2fdf372d0|0x7fb87a51e75042f1519a1f171b70|0x7fb870d28830c64f852e701c734e|NULL|4|4|4|43344|5278189
1d4f00a2fdf372d0|0x7fb87a51db7072349c70defd540c|0x7fb8678ac1b0c5496a26d40a496f|NULL|23|23|23|1500000|35438
1d4f00a2fdf372d0|0x7fb87a51dad01c6972c052226069|0x7fb8712a96d0b8cbf259dc221ec9|NULL|1|1|1|10000|8230
1d4f00a2fdf372d0|0x7fb87a51e890b930cb12c0e46865|0x7fb8712a9430c61445841b99d160|NULL|1|1|1|25|2093
48d70e0a47a313b2|0x7fb87a21ab503d37b92d70e85893|0x7fb870d237b0b6f5232a00b09c21|NULL|4|4|4|10912|10279
48d70e0a47a313b2|0x7fb87a21b41045554ba6bf27c72a|0x7fb8678ad2509e12a0393087f08b|NULL|92|92|92|327983|215529
48d70e0a47a313b2|0x7fb87a4a2c50e6687ed6d9c61890|0x7fb8678acfb0f7d2584d70844027|NULL|4|4|4|43648|5274846
48d70e0a47a313b2|0x7fb87a4a27f072349c70defd540c|0x7fb8678aced0c5496a26d40a496f|NULL|23|23|23|1500000|38024
48d70e0a47a313b2|0x7fb87a4a26b01c6972c052226069|0x7fb870d23510b8cbf259dc221ec9|NULL|1|1|1|10000|7988
48d70e0a47a313b2|0x7fb87a51aab0b930cb12c0e46865|0x7fb870d23430c61445841b99d160|NULL|1|1|1|25|1991
e31ddc150ca48b11|0x7fb87a1ccc10102eda0036f5d9e1|0x7fb870d268b0bff69c9742d21f11|NULL|4|4|4|11038|10557
e31ddc150ca48b11|0x7fb87a21c3b04f52155342703edc|0x7fb87a567bb0f76ec47b9cb976e5|NULL|92|92|92|331238|228642
