QUERY_HASH|OPERATOR_HASH|LEFT_INPUT_OPERATOR_HASH|RIGHT_INPUT_OPERATOR_HASH|JOIN_MODE|LEFT_TABLE_NAME|LEFT_COLUMN_NAME|LEFT_TABLE_CHUNK_COUNT|LEFT_TABLE_ROW_COUNT|RIGHT_TABLE_NAME|RIGHT_COLUMN_NAME|RIGHT_TABLE_CHUNK_COUNT|RIGHT_TABLE_ROW_COUNT|OUTPUT_CHUNK_COUNT|OUTPUT_ROW_COUNT|PREDICATE_COUNT|PRIMARY_PREDICATE|IS_FLIPPED|RADIX_BITS|BUILD_SIDE_MATERIALIZING_NS|PROBE_SIDE_MATERIALIZING_NS|CLUSTERING_NS|BUILDING_NS|PROBING_NS|OUTPUT_WRITING_NS|RUNTIME_NS|DESCRIPTION
cacdfebbc6c4a4a9|0x7fb8697f51d0d9384c888192c72b|0x7fb87a9f78b027e640544a48c9d0|0x7fb86973ced0a504f3bbd897311b|Inner|partsupp|ps_suppkey|13|600|supplier|s_suppkey|1|1955|1|600|1|=|FALSE|0|77433|22944|0|73615|11788|24272|222815|JoinHash (Inner Join where ps_suppkey = s_suppkey) Radix bits: 0
cacdfebbc6c4a4a9|0x7fb8697f55509ea8b5cb440b10b5|0x7fb8697f51d0d9384c888192c72b|0x7fb87b3119b08d65217a00e3fa2|Inner|partsupp|ps_partkey|1|600|part|p_partkey|4|794|4|600|1|=|FALSE|0|87266|33048|0|63328|13537|39809|250758|JoinHash (Inner Join where ps_partkey = p_partkey) Radix bits: 0
cacdfebbc6c4a4a9|0x7fb86973a9307c1cebfbf5a8c66|0x7fb86973e670218548ed661783ea|0x7fb87b312e50aa8c158e73ec2548|Semi|partsupp|ps_suppkey|13|3176|supplier|s_suppkey|1|1955|13|600|1|=|TRUE|0|44827|61981|0|90318|15509|23868|249578|JoinHash (Semi Join where ps_suppkey = s_suppkey) Radix bits: 0
cacdfebbc6c4a4a9|0x7fb86973aa10e95d6c301e2186f0|0x7fb87b311550e0fd5095fdfe1ea1|0x7fb87b312e50aa8c158e73ec2548|Inner|partsupp|ps_suppkey|13|600|supplier|s_suppkey|1|1955|1|600|1|=|FALSE|0|76376|23204|0|66424|10159|18830|206868|JoinHash (Inner Join where ps_suppkey = s_suppkey) Radix bits: 0
cacdfebbc6c4a4a9|0x7fb86973aaf02986175d7fd766da|0x7fb8697f55509ea8b5cb440b10b5|0x7fb87a9eae90cc92e6ea7c2d6423|Semi|partsupp|ps_supplycost|4|600|||1|452|4|452|2|=|TRUE|0|41321|88702|0|56433|53766|42541|294279|JoinHash (Semi Join where ps_supplycost = MIN(ps_supplycost) AND p_partkey = ps_partkey) Radix bits: 0
3f39001248ecea36|0x7fb87b234b7010d3730c8edd324b|0x7fb87b2fe3b075e39576292581c|0x7fb87b2fe4507724a5f3931b01be|Inner|lineitem|l_partkey|92|77661|part|p_partkey|4|200000|4|77661|1|=|FALSE|0|6010495|2226113|0|9641917|2148214|1300625|22271415|JoinHash (Inner Join where l_partkey = p_partkey) Radix bits: 0
3ea7b045dd721af|0x7fb87b23463031f05e1d05e5bdc6|0x7fb87b2fe09074e4e587eae43f28|0x7fb87b2fe1307724a5f3931b01be|Inner|lineitem|l_partkey|92|70245|part|p_partkey|4|200000|4|70245|1|=|FALSE|0|5663195|2118151|0|7917077|2111973|1215069|19516707|JoinHash (Inner Join where l_partkey = p_partkey) Radix bits: 0
5a2b866c50993af7|0x7fb878312030d6d9c14b8577d98e|0x7fb8783115b0390dd51a90e28d58|0x7fb87041ca10825a53d3e5ac9748|AntiNullAsFalse|customer|c_custkey|3|19068|orders|o_custkey|23|1500000|16|6275|1|=|TRUE|4|17381417|603056|6061512|14731350|348514|175016|39418531|JoinHash (AntiNullAsFalse Join where c_custkey = o_custkey) Radix bits: 4
17ec44c1749bf778|0x7fb87afaa290a23b30b76e687f3c|0x7fb87b2a9cd0790a19465a40ca1|0x7fb87b2a9d707724a5f3931b01be|Inner|lineitem|l_partkey|92|77317|part|p_partkey|4|200000|4|77317|1|=|FALSE|0|5983432|2235409|0|9643951|2141396|1325570|22283099|JoinHash (Inner Join where l_partkey = p_partkey) Radix bits: 0
3cb753cf8eadaf9d|0x7fb8583f69d098ccb4c4935fa5b1|0x7fb866df77d0eda70c234836bf30|0x7fb866df7050c519426014024c54|Left|customer|c_custkey|3|150000|orders|o_custkey|23|1484051|16|1534055|1|=|TRUE|4|21309991|2533722|7115360|101469878|27857363|37740926|200930926|JoinHash (Left Join where c_custkey = o_custkey) Radix bits: 4
6915007f60da0291|0x7fb87b0354506c357137569f8545|0x7fb87b035530c5496a26d40a496f|0x7fb87b03529015588acf7b55bd6a|Semi|orders|o_orderkey|23|1500000|lineitem|l_orderkey|184|31295|23|29353|1|=|TRUE|0|5666631|13627301|0|3322157|3061011|107572|25952587|JoinHash (Semi Join where o_orderkey = l_orderkey) Radix bits: 0
6915007f60da0291|0x7fb87b035610e862067aa8bf320|0x7fb87b03529015588acf7b55bd6a|0x7fb87aeacdd0a0a8536ea5a67b2a|Inner|lineitem|l_orderkey|184|31295|orders|o_orderkey|23|29353|184|31295|1|=|TRUE|0|663745|2003483|0|2914229|1215752|1083451|8050958|JoinHash (Inner Join where l_orderkey = o_orderkey) Radix bits: 0
f9a75b2a7796cee7|0x7fb8634abd30375c07d3953c7492|0x7fb86b645150eda70c234836bf30|0x7fb86ad4b890b51a3c3195ae7c30|Left|customer|c_custkey|3|150000|orders|o_custkey|23|1483868|16|1533872|1|=|TRUE|4|21140280|2526623|7153602|101623512|28297844|38036663|201643020|JoinHash (Left Join where c_custkey = o_custkey) Radix bits: 4
9634c0f014c487c|0x7fb86be26a10f50a2f92891e0cc1|0x7fb86be26d90a24853058028fe4|0x7fb87417ee90fc379085d0e96105|Semi|lineitem|l_orderkey|92|6001215|orders|o_orderkey|23|57420|92|229771|1|=|TRUE|0|3376594|64589589|0|5923593|24800190|1334675|100548553|JoinHash (Semi Join where l_orderkey = o_orderkey) Radix bits: 0
9634c0f014c487c|0x7fb86be271f0105b9e72e6423b59|0x7fb874185d30e2022fa0ce356468|0x7fb874185bf0b930cb12c0e46865|Inner|customer|c_nationkey|3|150000|nation|n_nationkey|1|25|3|150000|1|=|TRUE|0|70145|801681|0|5452|1983913|1721417|4610249|JoinHash (Inner Join where c_nationkey = n_nationkey) Radix bits: 0
9634c0f014c487c|0x7fb86be24ef0cc7000320af51413|0x7fb87417ee90fc379085d0e96105|0x7fb86be271f0105b9e72e6423b59|Inner|orders|o_custkey|23|57420|customer|c_custkey|3|150000|3|57420|1|=|FALSE|0|2530605|1424459|0|7383888|1482169|1366294|14821392|JoinHash (Inner Join where o_custkey = c_custkey) Radix bits: 0
9634c0f014c487c|0x7fb86be24fd027d4538be8bf07f0|0x7fb87417f7f031c3b8aa7bfb3ffd|0x7fb86be24ef0cc7000320af51413|Inner|lineitem|l_orderkey|92|114929|orders|o_orderkey|3|57420|92|114929|1|=|TRUE|0|14185490|8366770|0|5744722|4039892|5222714|37900436|JoinHash (Inner Join where l_orderkey = o_orderkey) Radix bits: 0
662d5e8984be9f4d|0x7fb8620811d0575c6ed274c0d91d|0x7fb862089eb0eda70c234836bf30|0x7fb8620895f0222253b80461d3f0|Left|customer|c_custkey|3|150000|orders|o_custkey|23|1484015|16|1534019|1|=|TRUE|4|21128790|2517897|7207881|100807693|28167185|38265066|200979877|JoinHash (Left Join where c_custkey = o_custkey) Radix bits: 4
56dbd2db920fd364|0x7fb86c1fd0f05645bb3802baecb0|0x7fb861cbea70eda70c234836bf30|0x7fb861cbe2f0b448bb63a5c63e7f|Left|customer|c_custkey|3|150000|orders|o_custkey|23|1483787|16|1533791|1|=|TRUE|4|20994112|2631638|7162261|105305288|28012655|38159235|205167184|JoinHash (Left Join where c_custkey = o_custkey) Radix bits: 4
5306fb25b39c9a13|0x7fb86c300d90e07ef40155187564|0x7fb8601f6490eda70c234836bf30|0x7fb8601f5bd0e6ecc51d186b9347|Left|customer|c_custkey|3|150000|orders|o_custkey|23|1483918|16|1533923|1|=|TRUE|4|20794872|2754605|9183071|101685689|29047145|38022591|204409548|JoinHash (Left Join where c_custkey = o_custkey) Radix bits: 4
6e53188167b613eb|0x7fb82f251930558d2a843bf28efc|0x7fb82f2513f03bd24f116d529a2f|0x7fb861cb687016e678ca7bd2c383|Semi|lineitem|l_partkey|92|6001215|part|p_partkey|4|195|92|5959|1|=|TRUE|0|83941|25834581|0|24209|174101|125587|26414682|JoinHash (Semi Join where l_partkey = p_partkey) Radix bits: 0
6e53188167b613eb|0x7fb82f251a108357a4d8fb1a818f|0x7fb861cb7f907e08fdfab3b7d8cd|0x7fb861cb687016e678ca7bd2c383|Inner|lineitem|l_partkey|92|5959|part|p_partkey|4|195|92|5959|1|=|TRUE|0|84793|516644|0|21311|178411|277662|1116212|JoinHash (Inner Join where l_partkey = p_partkey) Radix bits: 0
6e53188167b613eb|0x7fb82f251af021f2c789daf3dee4|0x7fb82f251a108357a4d8fb1a818f|0x7fb82ea11f90513f7c2d17ad8658|Semi|part|p_partkey|92|5959|lineitem|l_partkey|1|195|92|531|2|=|TRUE|0|58638|402192|0|22111|4535384|254481|5307475|JoinHash (Semi Join where p_partkey = l_partkey AND l_quantity < 0.2 * AVG(l_quantity)) Radix bits: 0
88cb5050186f8f56|0x7fb8787c1070c887b0db2ceaf8c2|0x7fb8787c15b0c5496a26d40a496f|0x7fb8787c19309f5c4aff1e8ebd56|Semi|orders|o_orderkey|23|1500000|lineitem|l_orderkey|184|31110|23|29132|1|=|TRUE|0|5666464|13561165|0|3292737|3088499|108051|25893795|JoinHash (Semi Join where o_orderkey = l_orderkey) Radix bits: 0
88cb5050186f8f56|0x7fb8787c0f90b98ab35ec9ae73bd|0x7fb8787c19309f5c4aff1e8ebd56|0x7fb8753e83905c99dedd6ce45c31|Inner|lineitem|l_orderkey|184|31110|orders|o_orderkey|23|29132|184|31110|1|=|TRUE|0|709103|2192936|0|2939933|1207665|1116306|8341963|JoinHash (Inner Join where l_orderkey = o_orderkey) Radix bits: 0
5ceda49d87596ad1|0x7fb875add870d8927f7b4c2f3ea0|0x7fb8744087f015f336fbe2aacac2|0x7fb8745de8f04003739033bf19d7|Semi|nation|n_regionkey|1|25|region|r_regionkey|1|1|1|5|1|=|TRUE|0|40027|10636|0|2964|2064|2291|66063|JoinHash (Semi Join where n_regionkey = r_regionkey) Radix bits: 0
5ceda49d87596ad1|0x7fb875add950395d76ffeb9666fa|0x7fb87440871072c2c8899ee07381|0x7fb8745df11097c3961ec895972b|Semi|customer|c_nationkey|3|150000|nation|n_nationkey|1|5|3|29904|1|=|TRUE|0|34139|667554|0|2552|444363|83611|1246226|JoinHash (Semi Join where c_nationkey = n_nationkey) Radix bits: 0
5ceda49d87596ad1|0x7fb875adddb0e8fd11d45461dde9|0x7fb875addb10f3a5082abf20904b|0x7fb8745df570edba09d4f40d6a96|Semi|lineitem|l_partkey|92|6001215|part|p_partkey|4|1311|92|39586|1|=|TRUE|0|176529|33097329|0|150923|596016|421002|34673602|JoinHash (Semi Join where l_partkey = p_partkey) Radix bits: 0
5ceda49d87596ad1|0x7fb875adde90e7131a2c4e762ce3|0x7fb8745df1b0d6ef7ae4328f4f46|0x7fb8745df570edba09d4f40d6a96|Inner|lineitem|l_partkey|92|39586|part|p_partkey|4|1311|92|39586|1|=|TRUE|0|167002|1687497|0|129885|802037|757455|3600045|JoinHash (Inner Join where l_partkey = p_partkey) Radix bits: 0
5ceda49d87596ad1|0x7fb875addf705dfa641f0c6b9065|0x7fb875adda3018a73eadac425cd6|0x7fb875adde90e7131a2c4e762ce3|Semi|orders|o_orderkey|23|1500000|lineitem|l_orderkey|92|39586|23|39060|1|=|TRUE|0|4269459|14328168|0|4405361|3959136|185733|27498081|JoinHash (Semi Join where o_orderkey = l_orderkey) Radix bits: 0
5ceda49d87596ad1|0x7fb875ade130f9735cbcd059935b|0x7fb8745de7b0da08ed6110201ec7|0x7fb875adde90e7131a2c4e762ce3|Inner|orders|o_orderkey|23|11991|lineitem|l_orderkey|92|39586|92|12172|1|=|FALSE|0|362324|1221661|0|1236554|427402|684056|4045083|JoinHash (Inner Join where o_orderkey = l_orderkey) Radix bits: 0
5ceda49d87596ad1|0x7fb875ade2102238d98fc9b3f060|0x7fb8745df070c73f922817993d73|0x7fb875ade130f9735cbcd059935b|Inner|customer|c_custkey|3|29904|orders|o_custkey|92|12172|3|2471|1|=|TRUE|0|4359776|462416|0|541000|51203|219810|5679969|JoinHash (Inner Join where c_custkey = o_custkey) Radix bits: 0
5ceda49d87596ad1|0x7fb875ade2f0d5f1d573e7fceaae|0x7fb8783222501c6972c052226069|0x7fb875ade2102238d98fc9b3f060|Inner|supplier|s_suppkey|1|10000|lineitem|l_suppkey|3|2471|1|2471|1|=|TRUE|0|1107336|64014|0|437639|49135|97464|1795645|JoinHash (Inner Join where s_suppkey = l_suppkey) Radix bits: 0
5ceda49d87596ad1|0x7fb875ade3d0a7c3e5b4c9cc4db9|0x7fb875ade2f0d5f1d573e7fceaae|0x7fb8745dead075ef260683609e83|Inner|supplier|s_nationkey|1|2471|nation|n_nationkey|1|25|1|2471|1|=|TRUE|0|36894|25031|0|5319|32354|105167|212987|JoinHash (Inner Join where s_nationkey = n_nationkey) Radix bits: 0
b7716a7fca47124c|0x7fb876f5e2508b63fd4ceab17eb1|0x7fb876f5e330c5496a26d40a496f|0x7fb876f5e090971346ae88531db9|Semi|orders|o_orderkey|23|1500000|lineitem|l_orderkey|184|31184|23|29283|1|=|TRUE|0|5621552|13585468|0|3369228|3091979|106816|25956938|JoinHash (Semi Join where o_orderkey = l_orderkey) Radix bits: 0
b7716a7fca47124c|0x7fb876f5e4f042238481470fe41b|0x7fb876f5e090971346ae88531db9|0x7fb87b1b02102fe6b9264207ed8f|Inner|lineitem|l_orderkey|184|31184|orders|o_orderkey|23|29283|184|31184|1|=|TRUE|0|663158|1966250|0|3000957|1235579|1078948|8115554|JoinHash (Inner Join where l_orderkey = o_orderkey) Radix bits: 0
30dd4d78749f665f|0x7fb87803cad06bed4be2446cc41f|0x7fb87803cbb0c5496a26d40a496f|0x7fb87803c91096945039bca94920|Semi|orders|o_orderkey|23|1500000|lineitem|l_orderkey|184|31130|23|29233|1|=|TRUE|0|10011199|13674993|0|3322357|3079484|110259|30379333|JoinHash (Semi Join where o_orderkey = l_orderkey) Radix bits: 0
30dd4d78749f665f|0x7fb87803cd70346135889526a6c8|0x7fb87803c91096945039bca94920|0x7fb8753e8cf06790ce1093c4c99|Inner|lineitem|l_orderkey|184|31130|orders|o_orderkey|23|29233|184|31130|1|=|TRUE|0|781947|2344356|0|2999774|1489140|1095634|8882773|JoinHash (Inner Join where l_orderkey = o_orderkey) Radix bits: 0
2128f939393ffa99|0x7fb87a256c9017758c6d513d142e|0x7fb874629d5044df8001c1284d65|0x7fb87a06f530a3d4ea76e370fb9a|Semi|lineitem|l_partkey|92|6001215|part|p_partkey|4|10804|92|323844|1|=|TRUE|0|569694|38701374|0|1180504|4511545|2749408|48052218|JoinHash (Semi Join where l_partkey = p_partkey) Radix bits: 0
2128f939393ffa99|0x7fb87a256d708e4c7fecc9aac1ce|0x7fb87a51c45081428d64d4a2c843|0x7fb87a06f530a3d4ea76e370fb9a|Inner|lineitem|l_partkey|92|323844|part|p_partkey|4|10804|92|323844|1|=|TRUE|0|504563|9876748|0|1195185|10032104|4720124|26521469|JoinHash (Inner Join where l_partkey = p_partkey) Radix bits: 0
2128f939393ffa99|0x7fb87a256e50ccc6ce90d8025bad|0x7fb870d22ef01ffe5ea0ab36463d|0x7fb87a256d708e4c7fecc9aac1ce|Semi|partsupp|ps_partkey|13|800000|lineitem|l_partkey|92|323844|4|43216|1|=|TRUE|2|10641829|5241028|1481883|5193584|536757|22215|23241645|JoinHash (Semi Join where ps_partkey = l_partkey) Radix bits: 2
2128f939393ffa99|0x7fb87462b950fc2a1297f4ac5c0f|0x7fb87a51b9b072349c70defd540c|0x7fb87a256d708e4c7fecc9aac1ce|Inner|orders|o_orderkey|23|1500000|lineitem|l_orderkey|92|323844|4|323844|1|=|TRUE|2|19518063|34772217|5529283|18353894|24788098|13638966|120083670|JoinHash (Inner Join where o_orderkey = l_orderkey) Radix bits: 2
2128f939393ffa99|0x7fb870d22d3050a332e0271ac474|0x7fb87a51e0701c6972c052226069|0x7fb87a51c310b930cb12c0e46865|Inner|supplier|s_nationkey|1|10000|nation|n_nationkey|1|25|1|10000|1|=|TRUE|0|157449|60039|0|11031|121561|143283|513267|JoinHash (Inner Join where s_nationkey = n_nationkey) Radix bits: 0
2128f939393ffa99|0x7fb870d22e103f645805b2f6ed15|0x7fb87462b950fc2a1297f4ac5c0f|0x7fb870d22d3050a332e0271ac474|Inner|lineitem|l_suppkey|4|323844|supplier|s_suppkey|1|10000|4|323844|1|=|TRUE|0|106089|66651690|0|768379|7358396|10665496|85631504|JoinHash (Inner Join where l_suppkey = s_suppkey) Radix bits: 0
2128f939393ffa99|0x7fb870d28f30dbea539bfe66a02c|0x7fb87a51c6d03315076d847a0f14|0x7fb870d22e103f645805b2f6ed15|Inner|partsupp|ps_partkey|4|43216|lineitem|l_partkey|4|323844|4|1295376|1|=|FALSE|0|4216562|84450888|0|4755296|28568591|55036567|177398704|JoinHash (Inner Join where ps_partkey = l_partkey) Radix bits: 0
b2779cbfec72d65d|0x7fb8419277b0633e7e6ed9354bf|0x7fb860623250eda70c234836bf30|0x7fb860622990e59a9ef648d09fb7|Left|customer|c_custkey|3|150000|orders|o_custkey|23|1483804|16|1533808|1|=|TRUE|4|20769379|2489309|8281804|100693476|29388583|37876614|202401666|JoinHash (Left Join where c_custkey = o_custkey) Radix bits: 4
3012fb55b76cf808|0x7fb8623ae67085ff7fe8d5d34f67|0x7fb8696628f02eecfb54cd4aafba|0x7fb87964ef10301529f11d0c4c51|Semi|supplier|s_nationkey|1|10000|nation|n_nationkey|1|1|1|396|1|=|TRUE|0|53314|35460|0|2629|8280|6349|118860|JoinHash (Semi Join where s_nationkey = n_nationkey) Radix bits: 0
3012fb55b76cf808|0x7fb8623ae910f3209337ffea1b33|0x7fb87964e330d0c96e244fcea16e|0x7fb87964ef10301529f11d0c4c51|Inner|supplier|s_nationkey|1|396|nation|n_nationkey|1|1|1|396|1|=|TRUE|0|34347|13473|0|1943|10914|13051|82286|JoinHash (Inner Join where s_nationkey = n_nationkey) Radix bits: 0
3012fb55b76cf808|0x7fb8625a40f04e5bb623174e68a2|0x7fb8754950306713a60d4fbd2dc9|0x7fb8623ae910f3209337ffea1b33|Semi|lineitem|l_suppkey|92|6001215|supplier|s_suppkey|1|396|92|238204|1|=|TRUE|0|49947|17992284|0|47865|3371431|5278137|26965280|JoinHash (Semi Join where l_suppkey = s_suppkey) Radix bits: 0
3012fb55b76cf808|0x7fb86981b81053a9cd2b35c9794a|0x7fb8625a42b09bc23e2851b6ccdf|0x7fb8623ae910f3209337ffea1b33|Inner|lineitem|l_suppkey|92|150794|supplier|s_suppkey|1|396|92|150794|1|=|TRUE|0|119002|4551575|0|51496|2726095|3697676|11260065|JoinHash (Inner Join where l_suppkey = s_suppkey) Radix bits: 0
3012fb55b76cf808|0x7fb86981c450ac7c3db9604f0120|0x7fb8754950306713a60d4fbd2dc9|0x7fb86981b81053a9cd2b35c9794a|Semi|lineitem|l_orderkey|92|6001215|lineitem|l_orderkey|92|150794|2|712425|1|=|TRUE|1|11196119|102924582|13680763|6881410|55412434|186926|191909189|JoinHash (Semi Join where l_orderkey = l_orderkey) Radix bits: 1
3012fb55b76cf808|0x7fb8623ae3d070768ee369f62d9c|0x7fb86981b81053a9cd2b35c9794a|0x7fb8623ae2f0537a9a5da6bbf59b|AntiNullAsFalse|lineitem|l_orderkey|92|150794|lineitem|l_orderkey|2|500396|8|13450|2|=|TRUE|3|49806325|6022223|3651966|53071768|59454096|1917987|177751015|JoinHash (AntiNullAsFalse Join where l_orderkey = l_orderkey AND l_suppkey != l_suppkey) Radix bits: 3
3012fb55b76cf808|0x7fb8625a7110e7e6334afe54cb91|0x7fb8623ae3d070768ee369f62d9c|0x7fb87964e8d0570f06a2c23c3dbf|Semi|lineitem|l_orderkey|8|13450|lineitem|l_orderkey|2|712425|8|8035|2|=|TRUE|3|68224273|1938889|2926839|12215362|8027149|334118|94191053|JoinHash (Semi Join where l_orderkey = l_orderkey AND l_suppkey != l_suppkey) Radix bits: 3
3012fb55b76cf808|0x7fb875494d901f975a3d88607244|0x7fb87964efb056206023a7a8813a|0x7fb8625a7110e7e6334afe54cb91|Inner|orders|o_orderkey|23|729413|lineitem|l_orderkey|8|8035|23|3935|1|=|TRUE|0|1297457|7815071|0|1031072|425394|520229|11231994|JoinHash (Inner Join where o_orderkey = l_orderkey) Radix bits: 0
66a2531bd4b0bf27|0x7fb87503a7f07173436973399144|0x7fb87b06fdd055253a818ae39d59|0x7fb87b070af0f8f2ee3df2f27719|Inner|orders|o_custkey|23|721026|customer|c_custkey|3|29752|23|143397|1|=|TRUE|0|761504|6951834|0|2465194|3708437|2270031|16356978|JoinHash (Inner Join where o_custkey = c_custkey) Radix bits: 0
66a2531bd4b0bf27|0x7fb87503ad3072e469470e39f895|0x7fb87503bc10a24853058028fe4|0x7fb87503a7f07173436973399144|Semi|lineitem|l_orderkey|92|6001215|orders|o_orderkey|23|143397|2|573281|1|=|TRUE|1|6589635|99857510|12327041|6794053|51593416|45826|178839678|JoinHash (Semi Join where l_orderkey = o_orderkey) Radix bits: 1
66a2531bd4b0bf27|0x7fb87503a9b070e9d19a65c178f8|0x7fb87b070870c394ad3ce7d610cc|0x7fb87503a7f07173436973399144|Inner|lineitem|l_orderkey|2|30262|orders|o_orderkey|23|143397|23|30262|1|=|FALSE|0|5176966|3543920|0|3710960|958102|1042607|14728853|JoinHash (Inner Join where l_orderkey = o_orderkey) Radix bits: 0
118eb592898739be|0x7fb87b36cbd0eecf7c6a8b89df36|0x7fb87b36ccb0c5496a26d40a496f|0x7fb87b36ca10f03caf76ee027cba|Semi|orders|o_orderkey|23|1500000|lineitem|l_orderkey|184|31075|23|29191|1|=|TRUE|0|5631479|13628072|0|3293494|3064261|107704|25901896|JoinHash (Semi Join where o_orderkey = l_orderkey) Radix bits: 0
118eb592898739be|0x7fb87b36ce70dbe046e51c950904|0x7fb87b36ca10f03caf76ee027cba|0x7fb8780e3fd0393840eed5173605|Inner|lineitem|l_orderkey|184|31075|orders|o_orderkey|23|29191|184|31075|1|=|TRUE|0|785722|2025839|0|2903428|1208127|1075809|8168579|JoinHash (Inner Join where l_orderkey = o_orderkey) Radix bits: 0
cae48c81481802f4|0x7fb8783c7990410e91e59bfb685|0x7fb8783c7c3044df8001c1284d65|0x7fb8783c78b04dc88f7e54bcec05|Semi|lineitem|l_partkey|92|6001215|part|p_partkey|1|477|92|14375|1|=|TRUE|0|115192|26784630|0|56319|322910|254500|27736741|JoinHash (Semi Join where l_partkey = p_partkey) Radix bits: 0
cae48c81481802f4|0x7fb8783c6f10e2ed280d854e115c|0x7fb879babf9059cae943fe6cd0b0|0x7fb8783c78b04dc88f7e54bcec05|Inner|lineitem|l_partkey|92|527|part|p_partkey|1|477|92|527|1|=|TRUE|0|116691|187290|0|42066|56028|303327|740835|JoinHash (Inner Join where l_partkey = p_partkey) Radix bits: 0
