QUERY_HASH|EXECUTION_COUNT|QUERY_STRING
"6915007f60da0291"|2|"SELECT 'TPC-H_Q12', l_shipmode, SUM(case when o_orderpriority ='1-URGENT' or o_orderpriority ='2-HIGH' then 1 else 0 end)      as high_line_count, SUM(case when o_orderpriority <> '1-URGENT' AND      o_orderpriority <> '2-HIGH' then 1 else 0 end) as low_line_count FROM orders, lineitem      WHERE o_orderkey = l_orderkey AND l_shipmode IN ('RAIL', 'MAIL') AND l_commitdate < l_receiptdate      AND l_shipdate < l_commitdate AND l_receiptdate >= '1993-01-01' AND      l_receiptdate < '1994-01-01' GROUP BY l_shipmode ORDER BY l_shipmode;"
"f9a75b2a7796cee7"|8|"SELECT 'TPC-H_Q13', c_count, count(*) as custdist FROM (SELECT c_custkey, count(o_orderkey) AS c_count      FROM customer left outer join orders on c_custkey = o_custkey AND o_comment not like '%unusual%deposits%'      GROUP BY c_custkey) as c_orders GROUP BY c_count ORDER BY custdist DESC, c_count DESC;"
"9634c0f014c487c"|4|"SELECT 'TPC-H_Q10', c_custkey, c_name, SUM(l_extendedprice * (1 - l_discount)) as revenue, c_acctbal, n_name, c_address,      c_phone, c_comment      FROM customer, orders, lineitem, nation      WHERE c_custkey = o_custkey AND l_orderkey = o_orderkey AND o_orderdate >= '1994-03-01'      AND o_orderdate < '1994-06-01' AND l_returnflag = 'R' AND c_nationkey = n_nationkey      GROUP BY c_custkey, c_name, c_acctbal, c_phone, n_name, c_address, c_comment      ORDER BY revenue DESC LIMIT 20;"
"662d5e8984be9f4d"|9|"SELECT 'TPC-H_Q13', c_count, count(*) as custdist FROM (SELECT c_custkey, count(o_orderkey) AS c_count      FROM customer left outer join orders on c_custkey = o_custkey AND o_comment not like '%express%accounts%'      GROUP BY c_custkey) as c_orders GROUP BY c_count ORDER BY custdist DESC, c_count DESC;"
"e0127eb7be887c2c"|1|"create view revenue88 (supplier_no, total_revenue) as SELECT l_suppkey,      SUM(l_extendedprice * (1 - l_discount)) FROM lineitem WHERE l_shipdate >= '1994-07-01'      AND l_shipdate < '1994-10-01' GROUP BY l_suppkey;"
"56dbd2db920fd364"|4|"SELECT 'TPC-H_Q13', c_count, count(*) as custdist FROM (SELECT c_custkey, count(o_orderkey) AS c_count      FROM customer left outer join orders on c_custkey = o_custkey AND o_comment not like '%unusual%packages%'      GROUP BY c_custkey) as c_orders GROUP BY c_count ORDER BY custdist DESC, c_count DESC;"
"5306fb25b39c9a13"|5|"SELECT 'TPC-H_Q13', c_count, count(*) as custdist FROM (SELECT c_custkey, count(o_orderkey) AS c_count      FROM customer left outer join orders on c_custkey = o_custkey AND o_comment not like '%special%requests%'      GROUP BY c_custkey) as c_orders GROUP BY c_count ORDER BY custdist DESC, c_count DESC;"
"6e53188167b613eb"|1|"SELECT 'TPC-H_Q17', SUM(l_extendedprice) / 7.0 as avg_yearly FROM lineitem, part WHERE p_partkey = l_partkey      AND p_brand = 'Brand#21' AND p_container = 'MED CASE' AND l_quantity < (SELECT 0.2 * avg(l_quantity)      FROM lineitem WHERE l_partkey = p_partkey);"
"88cb5050186f8f56"|2|"SELECT 'TPC-H_Q12', l_shipmode, SUM(case when o_orderpriority ='1-URGENT' or o_orderpriority ='2-HIGH' then 1 else 0 end)      as high_line_count, SUM(case when o_orderpriority <> '1-URGENT' AND      o_orderpriority <> '2-HIGH' then 1 else 0 end) as low_line_count FROM orders, lineitem      WHERE o_orderkey = l_orderkey AND l_shipmode IN ('FOB', 'MAIL') AND l_commitdate < l_receiptdate      AND l_shipdate < l_commitdate AND l_receiptdate >= '1993-01-01' AND      l_receiptdate < '1994-01-01' GROUP BY l_shipmode ORDER BY l_shipmode;"
"5ceda49d87596ad1"|1|"SELECT 'TPC-H_Q08', o_year, SUM(case when nation = 'SAUDI ARABIA' then volume else 0 end) / SUM(volume) as mkt_share     FROM (SELECT SUBSTR(o_orderdate, 1, 4) as o_year, l_extendedprice * (1-l_discount) as volume,     n2.n_name as nation FROM part, supplier, lineitem, orders, customer, nation n1, nation n2, region     WHERE p_partkey = l_partkey AND s_suppkey = l_suppkey AND l_orderkey = o_orderkey AND     o_custkey = c_custkey AND c_nationkey = n1.n_nationkey AND n1.n_regionkey = r_regionkey AND     r_name = 'MIDDLE EAST' AND s_nationkey = n2.n_nationkey AND o_orderdate between '1995-01-01'     AND '1996-12-31' AND p_type = 'LARGE ANODIZED NICKEL') as all_nations GROUP BY o_year ORDER BY o_year;"
"b7716a7fca47124c"|2|"SELECT 'TPC-H_Q12', l_shipmode, SUM(case when o_orderpriority ='1-URGENT' or o_orderpriority ='2-HIGH' then 1 else 0 end)      as high_line_count, SUM(case when o_orderpriority <> '1-URGENT' AND      o_orderpriority <> '2-HIGH' then 1 else 0 end) as low_line_count FROM orders, lineitem      WHERE o_orderkey = l_orderkey AND l_shipmode IN ('SHIP', 'REG AIR') AND l_commitdate < l_receiptdate      AND l_shipdate < l_commitdate AND l_receiptdate >= '1997-01-01' AND      l_receiptdate < '1998-01-01' GROUP BY l_shipmode ORDER BY l_shipmode;"
"30dd4d78749f665f"|2|"SELECT 'TPC-H_Q12', l_shipmode, SUM(case when o_orderpriority ='1-URGENT' or o_orderpriority ='2-HIGH' then 1 else 0 end)      as high_line_count, SUM(case when o_orderpriority <> '1-URGENT' AND      o_orderpriority <> '2-HIGH' then 1 else 0 end) as low_line_count FROM orders, lineitem      WHERE o_orderkey = l_orderkey AND l_shipmode IN ('AIR', 'FOB') AND l_commitdate < l_receiptdate      AND l_shipdate < l_commitdate AND l_receiptdate >= '1997-01-01' AND      l_receiptdate < '1998-01-01' GROUP BY l_shipmode ORDER BY l_shipmode;"
"2128f939393ffa99"|1|"SELECT 'TPC-H_Q09', nation, o_year, SUM(amount) as sum_profit FROM (SELECT n_name as nation, SUBSTR(o_orderdate, 1, 4) as o_year,      l_extendedprice * (1 - l_discount) - ps_supplycost * l_quantity as amount      FROM part, supplier, lineitem, partsupp, orders, nation WHERE s_suppkey = l_suppkey      AND ps_suppkey = l_suppkey AND ps_partkey = l_partkey AND p_partkey = l_partkey AND o_orderkey = l_orderkey      AND s_nationkey = n_nationkey AND p_name like '%floral%') as profit      GROUP BY nation, o_year ORDER BY nation, o_year DESC;"
"b2779cbfec72d65d"|5|"SELECT 'TPC-H_Q13', c_count, count(*) as custdist FROM (SELECT c_custkey, count(o_orderkey) AS c_count      FROM customer left outer join orders on c_custkey = o_custkey AND o_comment not like '%special%deposits%'      GROUP BY c_custkey) as c_orders GROUP BY c_count ORDER BY custdist DESC, c_count DESC;"
"3012fb55b76cf808"|4|"SELECT 'TPC-H_Q21', s_name, count(*) as numwait FROM supplier, lineitem l1, orders, nation WHERE s_suppkey = l1.l_suppkey      AND o_orderkey = l1.l_orderkey AND o_orderstatus = 'F' AND l1.l_receiptdate > l1.l_commitdate AND exists      (SELECT * FROM lineitem l2 WHERE l2.l_orderkey = l1.l_orderkey AND l2.l_suppkey <> l1.l_suppkey) AND not exists      (SELECT * FROM lineitem l3 WHERE l3.l_orderkey = l1.l_orderkey AND l3.l_suppkey <> l1.l_suppkey AND      l3.l_receiptdate > l3.l_commitdate ) AND s_nationkey = n_nationkey AND n_name = 'GERMANY' GROUP BY s_name      ORDER BY numwait DESC, s_name LIMIT 100;"
"66a2531bd4b0bf27"|2|"SELECT 'TPC-H_Q03', l_orderkey, SUM(l_extendedprice*(1-l_discount)) as revenue, o_orderdate, o_shippriority      FROM customer, orders, lineitem      WHERE c_mktsegment = 'AUTOMOBILE' AND c_custkey = o_custkey AND l_orderkey = o_orderkey      AND o_orderdate < '1995-03-05' AND l_shipdate > '1995-03-05'      GROUP BY l_orderkey, o_orderdate, o_shippriority      ORDER BY revenue DESC, o_orderdate      LIMIT 10;"
"118eb592898739be"|2|"SELECT 'TPC-H_Q12', l_shipmode, SUM(case when o_orderpriority ='1-URGENT' or o_orderpriority ='2-HIGH' then 1 else 0 end)      as high_line_count, SUM(case when o_orderpriority <> '1-URGENT' AND      o_orderpriority <> '2-HIGH' then 1 else 0 end) as low_line_count FROM orders, lineitem      WHERE o_orderkey = l_orderkey AND l_shipmode IN ('RAIL', 'SHIP') AND l_commitdate < l_receiptdate      AND l_shipdate < l_commitdate AND l_receiptdate >= '1995-01-01' AND      l_receiptdate < '1996-01-01' GROUP BY l_shipmode ORDER BY l_shipmode;"
"cae48c81481802f4"|1|"SELECT 'TPC-H_Q19', SUM(l_extendedprice * (1 - l_discount) ) as revenue FROM lineitem, part WHERE (( p_partkey = l_partkey AND      p_brand = 'Brand#11' AND p_container in ( 'SM CASE', 'SM BOX', 'SM PACK', 'SM PKG') AND l_quantity >= 1 AND l_quantity      <= 1 + 10 AND p_size between 1 AND 5 AND l_shipmode in ('AIR', 'AIR REG') AND l_shipinstruct = 'DELIVER IN PERSON') or      (p_partkey = l_partkey AND p_brand = 'Brand#33' AND p_container in ('MED BAG', 'MED BOX', 'MED PKG', 'MED PACK') AND      l_quantity >= 15 AND l_quantity <= 15 + 10 AND p_size between 1 AND 10 AND l_shipmode in ('AIR', 'AIR REG') AND      l_shipinstruct = 'DELIVER IN PERSON') or (p_partkey = l_partkey AND p_brand = 'Brand#54' AND p_container in (      'LG CASE', 'LG BOX', 'LG PACK', 'LG PKG') AND l_quantity >= 22 AND l_quantity <= 22 + 10 AND p_size between 1 AND 15      AND l_shipmode in ('AIR', 'AIR REG') AND l_shipinstruct = 'DELIVER IN PERSON'));"
"e746d56381731f4f"|2|"SELECT 'TPC-H_Q04', o_orderpriority, count(*) as order_count FROM orders WHERE o_orderdate >= '1993-02-01' AND    o_orderdate < '1993-05-01' AND exists (    SELECT * FROM lineitem WHERE l_orderkey = o_orderkey AND l_commitdate < l_receiptdate)    GROUP BY o_orderpriority ORDER BY o_orderpriority;"
"db9f11d764d89275"|1|"SELECT 'TPC-H_Q16', p_brand, p_type, p_size, count(distinct ps_suppkey) as supplier_cnt      FROM partsupp, part WHERE p_partkey = ps_partkey AND p_brand <> 'Brand#24'      AND p_type not like 'MEDIUM BRUSHED%' AND p_size in (32, 29, 39, 23, 28, 26, 25, 19)      AND ps_suppkey not in (SELECT s_suppkey FROM supplier WHERE s_comment like '%Customer%Complaints%')      GROUP BY p_brand, p_type, p_size ORDER BY supplier_cnt DESC, p_brand, p_type, p_size;"
"a756e4263a550cbb"|1|"SELECT 'TPC-H_Q09', nation, o_year, SUM(amount) as sum_profit FROM (SELECT n_name as nation, SUBSTR(o_orderdate, 1, 4) as o_year,      l_extendedprice * (1 - l_discount) - ps_supplycost * l_quantity as amount      FROM part, supplier, lineitem, partsupp, orders, nation WHERE s_suppkey = l_suppkey      AND ps_suppkey = l_suppkey AND ps_partkey = l_partkey AND p_partkey = l_partkey AND o_orderkey = l_orderkey      AND s_nationkey = n_nationkey AND p_name like '%lavender%') as profit      GROUP BY nation, o_year ORDER BY nation, o_year DESC;"
"84d5a9fe52d660cd"|4|"SELECT 'TPC-H_Q11', ps_partkey, SUM(ps_supplycost * ps_availqty) as value FROM partsupp, supplier, nation      WHERE ps_suppkey = s_suppkey AND s_nationkey = n_nationkey AND n_name = 'INDONESIA'      GROUP BY ps_partkey having SUM(ps_supplycost * ps_availqty) > (      SELECT SUM(ps_supplycost * ps_availqty) * 0.000100 FROM partsupp, supplier, nation      WHERE ps_suppkey = s_suppkey AND s_nationkey = n_nationkey AND n_name = 'INDONESIA') ORDER BY value DESC;"
"e0774dca1f95d09b"|5|"SELECT 'TPC-H_Q11', ps_partkey, SUM(ps_supplycost * ps_availqty) as value FROM partsupp, supplier, nation      WHERE ps_suppkey = s_suppkey AND s_nationkey = n_nationkey AND n_name = 'FRANCE'      GROUP BY ps_partkey having SUM(ps_supplycost * ps_availqty) > (      SELECT SUM(ps_supplycost * ps_availqty) * 0.000100 FROM partsupp, supplier, nation      WHERE ps_suppkey = s_suppkey AND s_nationkey = n_nationkey AND n_name = 'FRANCE') ORDER BY value DESC;"
"8435e83560f8f245"|2|"SELECT 'TPC-H_Q10', c_custkey, c_name, SUM(l_extendedprice * (1 - l_discount)) as revenue, c_acctbal, n_name, c_address,      c_phone, c_comment      FROM customer, orders, lineitem, nation      WHERE c_custkey = o_custkey AND l_orderkey = o_orderkey AND o_orderdate >= '1994-05-01'      AND o_orderdate < '1994-08-01' AND l_returnflag = 'R' AND c_nationkey = n_nationkey      GROUP BY c_custkey, c_name, c_acctbal, c_phone, n_name, c_address, c_comment      ORDER BY revenue DESC LIMIT 20;"
"cef4c9967881e406"|1|"SELECT          'TPC-H_Q07',           supp_nation,          cust_nation,          l_year,          SUM(volume) as revenue      FROM          (SELECT              n1.n_name as supp_nation,              n2.n_name as cust_nation,              SUBSTR(l_shipdate, 1, 4) as l_year,              l_extendedprice * (1 - l_discount) as volume          FROM              supplier,              lineitem,              orders,              customer,              nation n1,              nation n2          WHERE              s_suppkey = l_suppkey AND              o_orderkey = l_orderkey AND              c_custkey = o_custkey AND              s_nationkey = n1.n_nationkey AND              c_nationkey = n2.n_nationkey AND              ((n1.n_name = 'SAUDI ARABIA' AND n2.n_name = 'JORDAN') OR               (n1.n_name = 'JORDAN' AND n2.n_name = 'SAUDI ARABIA')) AND              l_shipdate BETWEEN '1995-01-01' AND '1996-12-31'          ) as shipping      GROUP BY          supp_nation, cust_nation, l_year      ORDER BY          supp_nation, cust_nation, l_year;"
"ba40a0751c8fa1d2"|1|"SELECT 'TPC-H_Q20', s_name, s_address FROM supplier, nation WHERE s_suppkey in (SELECT ps_suppkey FROM partsupp      WHERE ps_partkey in (SELECT p_partkey FROM part WHERE p_name like 'hot%') AND ps_availqty >      (SELECT 0.5 * SUM(l_quantity) FROM lineitem WHERE l_partkey = ps_partkey AND l_suppkey = ps_suppkey AND      l_shipdate >= '1994-01-01' AND l_shipdate < '1995-01-01')) AND s_nationkey = n_nationkey      AND n_name = 'VIETNAM' ORDER BY s_name;"
"15224438c25f5876"|1|"SELECT 'TPC-H_Q09', nation, o_year, SUM(amount) as sum_profit FROM (SELECT n_name as nation, SUBSTR(o_orderdate, 1, 4) as o_year,      l_extendedprice * (1 - l_discount) - ps_supplycost * l_quantity as amount      FROM part, supplier, lineitem, partsupp, orders, nation WHERE s_suppkey = l_suppkey      AND ps_suppkey = l_suppkey AND ps_partkey = l_partkey AND p_partkey = l_partkey AND o_orderkey = l_orderkey      AND s_nationkey = n_nationkey AND p_name like '%tomato%') as profit      GROUP BY nation, o_year ORDER BY nation, o_year DESC;"
"c30145b34bbe2408"|4|"SELECT 'TPC-H_Q10', c_custkey, c_name, SUM(l_extendedprice * (1 - l_discount)) as revenue, c_acctbal, n_name, c_address,      c_phone, c_comment      FROM customer, orders, lineitem, nation      WHERE c_custkey = o_custkey AND l_orderkey = o_orderkey AND o_orderdate >= '1993-03-01'      AND o_orderdate < '1993-06-01' AND l_returnflag = 'R' AND c_nationkey = n_nationkey      GROUP BY c_custkey, c_name, c_acctbal, c_phone, n_name, c_address, c_comment      ORDER BY revenue DESC LIMIT 20;"
"a5a64d941c31362"|8|"SELECT 'TPC-H_Q10', c_custkey, c_name, SUM(l_extendedprice * (1 - l_discount)) as revenue, c_acctbal, n_name, c_address,      c_phone, c_comment      FROM customer, orders, lineitem, nation      WHERE c_custkey = o_custkey AND l_orderkey = o_orderkey AND o_orderdate >= '1994-11-01'      AND o_orderdate < '1995-02-01' AND l_returnflag = 'R' AND c_nationkey = n_nationkey      GROUP BY c_custkey, c_name, c_acctbal, c_phone, n_name, c_address, c_comment      ORDER BY revenue DESC LIMIT 20;"
"2c80bac730da41d"|3|"SELECT 'TPC-H_Q06', sum(l_extendedprice*l_discount) AS revenue      FROM lineitem      WHERE l_shipdate >= '1996-01-01' AND l_shipdate < '1997-01-01'      AND l_discount BETWEEN 0.050000 - 0.01 AND 0.050000 + 0.01001 AND l_quantity < 25;"
"3337dfe32c9732e2"|1|"SELECT 'TPC-H_Q16', p_brand, p_type, p_size, count(distinct ps_suppkey) as supplier_cnt      FROM partsupp, part WHERE p_partkey = ps_partkey AND p_brand <> 'Brand#43'      AND p_type not like 'ECONOMY ANODIZED%' AND p_size in (5, 37, 42, 45, 6, 36, 30, 9)      AND ps_suppkey not in (SELECT s_suppkey FROM supplier WHERE s_comment like '%Customer%Complaints%')      GROUP BY p_brand, p_type, p_size ORDER BY supplier_cnt DESC, p_brand, p_type, p_size;"
"81d3a1fad4d6aacc"|4|"SELECT 'TPC-H_Q10', c_custkey, c_name, SUM(l_extendedprice * (1 - l_discount)) as revenue, c_acctbal, n_name, c_address,      c_phone, c_comment      FROM customer, orders, lineitem, nation      WHERE c_custkey = o_custkey AND l_orderkey = o_orderkey AND o_orderdate >= '1993-12-01'      AND o_orderdate < '1994-03-01' AND l_returnflag = 'R' AND c_nationkey = n_nationkey      GROUP BY c_custkey, c_name, c_acctbal, c_phone, n_name, c_address, c_comment      ORDER BY revenue DESC LIMIT 20;"
"40f9d26e7b074525"|1|"SELECT 'TPC-H_Q20', s_name, s_address FROM supplier, nation WHERE s_suppkey in (SELECT ps_suppkey FROM partsupp      WHERE ps_partkey in (SELECT p_partkey FROM part WHERE p_name like 'misty%') AND ps_availqty >      (SELECT 0.5 * SUM(l_quantity) FROM lineitem WHERE l_partkey = ps_partkey AND l_suppkey = ps_suppkey AND      l_shipdate >= '1993-01-01' AND l_shipdate < '1994-01-01')) AND s_nationkey = n_nationkey      AND n_name = 'PERU' ORDER BY s_name;"
"5a90d8d116963903"|5|"SELECT 'TPC-H_Q10', c_custkey, c_name, SUM(l_extendedprice * (1 - l_discount)) as revenue, c_acctbal, n_name, c_address,      c_phone, c_comment      FROM customer, orders, lineitem, nation      WHERE c_custkey = o_custkey AND l_orderkey = o_orderkey AND o_orderdate >= '1993-11-01'      AND o_orderdate < '1994-02-01' AND l_returnflag = 'R' AND c_nationkey = n_nationkey      GROUP BY c_custkey, c_name, c_acctbal, c_phone, n_name, c_address, c_comment      ORDER BY revenue DESC LIMIT 20;"
"efce1066834f8223"|5|"SELECT 'TPC-H_Q10', c_custkey, c_name, SUM(l_extendedprice * (1 - l_discount)) as revenue, c_acctbal, n_name, c_address,      c_phone, c_comment      FROM customer, orders, lineitem, nation      WHERE c_custkey = o_custkey AND l_orderkey = o_orderkey AND o_orderdate >= '1993-05-01'      AND o_orderdate < '1993-08-01' AND l_returnflag = 'R' AND c_nationkey = n_nationkey      GROUP BY c_custkey, c_name, c_acctbal, c_phone, n_name, c_address, c_comment      ORDER BY revenue DESC LIMIT 20;"
"d1227321cd540d48"|2|"SELECT 'TPC-H_Q04', o_orderpriority, count(*) as order_count FROM orders WHERE o_orderdate >= '1997-01-01' AND    o_orderdate < '1997-04-01' AND exists (    SELECT * FROM lineitem WHERE l_orderkey = o_orderkey AND l_commitdate < l_receiptdate)    GROUP BY o_orderpriority ORDER BY o_orderpriority;"
"9cc53c7ab139ffd"|1|"SELECT 'TPC-H_Q09', nation, o_year, SUM(amount) as sum_profit FROM (SELECT n_name as nation, SUBSTR(o_orderdate, 1, 4) as o_year,      l_extendedprice * (1 - l_discount) - ps_supplycost * l_quantity as amount      FROM part, supplier, lineitem, partsupp, orders, nation WHERE s_suppkey = l_suppkey      AND ps_suppkey = l_suppkey AND ps_partkey = l_partkey AND p_partkey = l_partkey AND o_orderkey = l_orderkey      AND s_nationkey = n_nationkey AND p_name like '%peru%') as profit      GROUP BY nation, o_year ORDER BY nation, o_year DESC;"
"b7faeb4b742ae053"|2|"SELECT 'TPC-H_Q09', nation, o_year, SUM(amount) as sum_profit FROM (SELECT n_name as nation, SUBSTR(o_orderdate, 1, 4) as o_year,      l_extendedprice * (1 - l_discount) - ps_supplycost * l_quantity as amount      FROM part, supplier, lineitem, partsupp, orders, nation WHERE s_suppkey = l_suppkey      AND ps_suppkey = l_suppkey AND ps_partkey = l_partkey AND p_partkey = l_partkey AND o_orderkey = l_orderkey      AND s_nationkey = n_nationkey AND p_name like '%smoke%') as profit      GROUP BY nation, o_year ORDER BY nation, o_year DESC;"
"6b23c71e7c5e84aa"|1|"SELECT 'TPC-H_Q02', s_acctbal, s_name, n_name, p_partkey, p_mfgr, s_address, s_phone, s_comment       FROM part, supplier, partsupp, nation, region       WHERE p_partkey = ps_partkey AND s_suppkey = ps_suppkey AND p_size = 50 AND p_type like '%STEEL' AND       s_nationkey = n_nationkey AND n_regionkey = r_regionkey AND r_name = 'AFRICA' AND       ps_supplycost = (SELECT min(ps_supplycost) FROM partsupp, supplier, nation, region       WHERE p_partkey = ps_partkey AND s_suppkey = ps_suppkey AND s_nationkey = n_nationkey       AND n_regionkey = r_regionkey AND r_name = 'AFRICA') ORDER BY s_acctbal DESC, n_name, s_name, p_partkey LIMIT 100;"
"ea18fd2c93881412"|1|"SELECT 'TPC-H_Q15', s_suppkey, s_name, s_address, s_phone, total_revenue FROM supplier, revenue86      WHERE s_suppkey = supplier_no AND total_revenue = (SELECT max(total_revenue)      FROM revenue86) ORDER BY s_suppkey;"
"1328b97b607e025c"|1|"SELECT         'TPC-H_Q22', cntrycode, COUNT(*) AS numcust, SUM(c_acctbal) AS totacctbal       FROM         (SELECT            SUBSTR(c_phone,1,2) AS cntrycode, c_acctbal          FROM            customer          WHERE            SUBSTR(c_phone,1,2) IN ('19', '13', '17', '10', '32', '25', '28') AND            c_acctbal > (SELECT                           AVG(c_acctbal)                         FROM                           customer                         WHERE                          c_acctbal > 0.00 AND                          SUBSTR(c_phone,1,2) IN ('19', '13', '17', '10', '32', '25', '28')) AND            NOT EXISTS ( SELECT * FROM orders WHERE o_custkey = c_custkey)        ) AS custsale       GROUP BY cntrycode       ORDER BY cntrycode;"
"55a5ca88daac27a8"|4|"SELECT 'TPC-H_Q11', ps_partkey, SUM(ps_supplycost * ps_availqty) as value FROM partsupp, supplier, nation      WHERE ps_suppkey = s_suppkey AND s_nationkey = n_nationkey AND n_name = 'ALGERIA'      GROUP BY ps_partkey having SUM(ps_supplycost * ps_availqty) > (      SELECT SUM(ps_supplycost * ps_availqty) * 0.000100 FROM partsupp, supplier, nation      WHERE ps_suppkey = s_suppkey AND s_nationkey = n_nationkey AND n_name = 'ALGERIA') ORDER BY value DESC;"
