QUERY_HASH|OPERATOR_HASH|LEFT_INPUT_OPERATOR_HASH|RIGHT_INPUT_OPERATOR_HASH|COLUMN_TYPE|TABLE_NAME|COLUMN_NAME|SCANS_SKIPPED|SCANS_SORTED|INPUT_CHUNK_COUNT|INPUT_ROW_COUNT|OUTPUT_CHUNK_COUNT|OUTPUT_ROW_COUNT|RUNTIME_NS|DESCRIPTION
"77fca85fa20e8454"|"0x7fb8751a92302ad57537d5477692"|"0x7fb8751a9150d7ec98d7a0f657f9"|"NULL"|"REFERENCE"|"part"|"p_brand"|0|0|18|20|18|20|86018|"TableScan Impl: ColumnVsValue p_brand = 'Brand#42'"
"77fca85fa20e8454"|"0x7fb8751a9150d7ec98d7a0f657f9"|"0x7fb8751a9070dae9c52617e25d55"|"NULL"|"REFERENCE"|"lineitem"|"l_quantity"|0|0|29|33|18|20|87297|"TableScan Impl: ColumnVsValue l_quantity >= 10"
"77fca85fa20e8454"|"0x7fb8751a9070dae9c52617e25d55"|"0x7fb8751a8f90fb0753eb20da4b03"|"NULL"|"REFERENCE"|"lineitem"|"l_quantity"|0|0|58|88|29|33|160415|"TableScan Impl: ColumnVsValue l_quantity <= 20"
"77fca85fa20e8454"|"0x7fb8751a8f90fb0753eb20da4b03"|"0x7fb8775313503aa0b02baa386071"|"NULL"|"REFERENCE"|"part"|"p_container"|0|0|92|504|58|88|696305|"TableScan Impl: ExpressionEvaluator (p_container) IN ('SM CASE', 'SM BOX', 'SM PACK', 'SM PKG')"
"cacdfebbc6c4a4a9"|"0x7fb86973bff0fddbeddbab1e9b3"|"0x7fb86973be30d19ff7e5b6763246"|"NULL"|"REFERENCE"|"part"|"p_type"|0|0|4|3971|4|794|66577|"TableScan Impl: ColumnLike p_type LIKE '%STEEL'"
"cacdfebbc6c4a4a9"|"0x7fb86973be30d19ff7e5b6763246"|"0x7fb86973cb50906b0df4bc884182"|"NULL"|"DATA"|"part"|"p_size"|0|0|4|200000|4|3971|188097|"TableScan Impl: ColumnVsValue p_size = 46"
"cacdfebbc6c4a4a9"|"0x7fb86973ec9085fab8dede0c9a79"|"0x7fb86973ef30787c913e7b77e77f"|"NULL"|"DATA"|"region"|"r_name"|0|0|1|5|1|1|10328|"TableScan Impl: ColumnVsValue r_name = 'AFRICA'"
"3f39001248ecea36"|"0x7fb87b234fd01657ca28af44dbf1"|"0x7fb87b234ef0a24853058028fe4"|"NULL"|"DATA"|"lineitem"|"l_shipdate"|0|0|92|6001215|92|77661|6390477|"TableScan Impl: ColumnBetween l_shipdate BETWEEN UPPER EXCLUSIVE '1993-10-01' AND '1993-11-01'"
"3ea7b045dd721af"|"0x7fb87b2344702fcb0e326d0e1530"|"0x7fb87b234550a24853058028fe4"|"NULL"|"DATA"|"lineitem"|"l_shipdate"|0|0|92|6001215|92|70245|6229799|"TableScan Impl: ColumnBetween l_shipdate BETWEEN UPPER EXCLUSIVE '1997-02-01' AND '1997-03-01'"
"5a2b866c50993af7"|"0x7fb8783115b0390dd51a90e28d58"|"0x7fb8734f69f05feb5559b4bcb50"|"NULL"|"REFERENCE"|"customer"|"c_phone"|0|0|3|67839|3|19068|9534858|"TableScan Impl: ExpressionEvaluator (SUBSTR(c_phone,1,2)) IN ('27', '29', '26', '34', '32', '17', '25')"
"5a2b866c50993af7"|"0x7fb8734f69f05feb5559b4bcb50"|"0x7fb87157f3b0f5e63503045c6bc2"|"NULL"|"REFERENCE"|"customer"|"c_acctbal"|0|0|3|150000|3|67839|26616838|"TableScan Impl: ColumnVsValue c_acctbal > SUBQUERY (PQP, 0x7fb87a50ce50)"
"17ec44c1749bf778"|"0x7fb87afaa0d01579effc69b49ee0"|"0x7fb87afaa1b0a24853058028fe4"|"NULL"|"DATA"|"lineitem"|"l_shipdate"|0|0|92|6001215|92|77317|6393370|"TableScan Impl: ColumnBetween l_shipdate BETWEEN UPPER EXCLUSIVE '1994-05-01' AND '1994-06-01'"
"3cb753cf8eadaf9d"|"0x7fb86a962f10d720895957b6996f"|"0x7fb86a962e3018a73eadac425cd6"|"NULL"|"DATA"|"orders"|"o_comment"|0|0|23|1500000|23|1484051|85723009|"TableScan Impl: ColumnLike o_comment NOT LIKE '%special%packages%'"
"6915007f60da0291"|"0x7fb87b03529015588acf7b55bd6a"|"0x7fb87b035370ef69cd6372bc311b"|"NULL"|"REFERENCE"|"lineitem"|"l_commitdate"|0|0|184|163536|184|31295|16063652|"TableScan Impl: ColumnVsColumn l_commitdate > l_shipdate"
"6915007f60da0291"|"0x7fb87b03529015588acf7b55bd6a"|"0x7fb87b035370ef69cd6372bc311b"|"NULL"|"REFERENCE"|"lineitem"|"l_shipdate"|0|0|184|163536|184|31295|16063652|"TableScan Impl: ColumnVsColumn l_commitdate > l_shipdate"
"6915007f60da0291"|"0x7fb87b035370ef69cd6372bc311b"|"0x7fb87aead3708af724a4febf1472"|"NULL"|"REFERENCE"|"lineitem"|"l_commitdate"|0|0|184|259138|184|163536|22702878|"TableScan Impl: ColumnVsColumn l_commitdate < l_receiptdate"
"6915007f60da0291"|"0x7fb87b035370ef69cd6372bc311b"|"0x7fb87aead3708af724a4febf1472"|"NULL"|"REFERENCE"|"lineitem"|"l_receiptdate"|0|0|184|259138|184|163536|22702878|"TableScan Impl: ColumnVsColumn l_commitdate < l_receiptdate"
"6915007f60da0291"|"0x7fb87b035c307a9229c32a12d4d5"|"0x7fb87b035990cd837dff26ff771b"|"NULL"|"REFERENCE"|"lineitem"|"l_shipmode"|0|0|92|908518|92|129760|3837357|"TableScan Impl: ColumnVsValue l_shipmode = 'MAIL'"
"6915007f60da0291"|"0x7fb87b035990cd837dff26ff771b"|"0x7fb87b035a70f3a5082abf20904b"|"NULL"|"DATA"|"lineitem"|"l_receiptdate"|0|0|92|6001215|92|908518|15354688|"TableScan Impl: ColumnBetween l_receiptdate BETWEEN UPPER EXCLUSIVE '1993-01-01' AND '1994-01-01'"
"6915007f60da0291"|"0x7fb87b035b5021c22318860b827d"|"0x7fb87b035990cd837dff26ff771b"|"NULL"|"REFERENCE"|"lineitem"|"l_shipmode"|0|0|92|908518|92|129378|3325250|"TableScan Impl: ColumnVsValue l_shipmode = 'RAIL'"
"f9a75b2a7796cee7"|"0x7fb86c43ba10d273ca0e7d43bbc9"|"0x7fb86c43b93018a73eadac425cd6"|"NULL"|"DATA"|"orders"|"o_comment"|0|0|23|1500000|23|1483868|84642477|"TableScan Impl: ColumnLike o_comment NOT LIKE '%unusual%deposits%'"
"9634c0f014c487c"|"0x7fb86be26f5033018fa6b38fa050"|"0x7fb86be26a10f50a2f92891e0cc1"|"NULL"|"REFERENCE"|"lineitem"|"l_returnflag"|0|0|92|229771|92|114929|3105990|"TableScan Impl: ColumnVsValue l_returnflag = 'R'"
"9634c0f014c487c"|"0x7fb86be26af03dfaeec4cdb86303"|"0x7fb86be26cb018a73eadac425cd6"|"NULL"|"DATA"|"orders"|"o_orderdate"|0|0|23|1500000|23|57420|2278825|"TableScan Impl: ColumnBetween o_orderdate BETWEEN UPPER EXCLUSIVE '1994-03-01' AND '1994-06-01'"
"662d5e8984be9f4d"|"0x7fb8620812b057d3d4942d9d5f22"|"0x7fb86208139018a73eadac425cd6"|"NULL"|"DATA"|"orders"|"o_comment"|0|0|23|1500000|23|1484015|79875297|"TableScan Impl: ColumnLike o_comment NOT LIKE '%express%accounts%'"
"56dbd2db920fd364"|"0x7fb861c96810d8cd64feb128a40"|"0x7fb861c9673018a73eadac425cd6"|"NULL"|"DATA"|"orders"|"o_comment"|0|0|23|1500000|23|1483787|84324056|"TableScan Impl: ColumnLike o_comment NOT LIKE '%unusual%packages%'"
"5306fb25b39c9a13"|"0x7fb86c300e70fccabb365e3f45f7"|"0x7fb86c300f5018a73eadac425cd6"|"NULL"|"DATA"|"orders"|"o_comment"|0|0|23|1500000|23|1483918|86358329|"TableScan Impl: ColumnLike o_comment NOT LIKE '%special%requests%'"
"6e53188167b613eb"|"0x7fb82f251f50b8e0aa8c775558"|"0x7fb82f251e702899cda875dfcb07"|"NULL"|"REFERENCE"|"part"|"p_brand"|0|0|4|5064|4|195|45786|"TableScan Impl: ColumnVsValue p_brand = 'Brand#21'"
"6e53188167b613eb"|"0x7fb82f251e702899cda875dfcb07"|"0x7fb82f251850f22cb48383b8ac6a"|"NULL"|"DATA"|"part"|"p_container"|0|0|4|200000|4|5064|207694|"TableScan Impl: ColumnVsValue p_container = 'MED CASE'"
"88cb5050186f8f56"|"0x7fb8787c19309f5c4aff1e8ebd56"|"0x7fb8787c14d0e99bb6479f1f4188"|"NULL"|"REFERENCE"|"lineitem"|"l_commitdate"|0|0|184|164531|184|31110|16146459|"TableScan Impl: ColumnVsColumn l_commitdate > l_shipdate"
"88cb5050186f8f56"|"0x7fb8787c19309f5c4aff1e8ebd56"|"0x7fb8787c14d0e99bb6479f1f4188"|"NULL"|"REFERENCE"|"lineitem"|"l_shipdate"|0|0|184|164531|184|31110|16146459|"TableScan Impl: ColumnVsColumn l_commitdate > l_shipdate"
"88cb5050186f8f56"|"0x7fb8787c14d0e99bb6479f1f4188"|"0x7fb8753e87f08ff0dedfd0e1e18a"|"NULL"|"REFERENCE"|"lineitem"|"l_commitdate"|0|0|184|259810|184|164531|22270434|"TableScan Impl: ColumnVsColumn l_commitdate < l_receiptdate"
"88cb5050186f8f56"|"0x7fb8787c14d0e99bb6479f1f4188"|"0x7fb8753e87f08ff0dedfd0e1e18a"|"NULL"|"REFERENCE"|"lineitem"|"l_receiptdate"|0|0|184|259810|184|164531|22270434|"TableScan Impl: ColumnVsColumn l_commitdate < l_receiptdate"
"88cb5050186f8f56"|"0x7fb8787c16907a9229c32a12d4d5"|"0x7fb8787c1850cd837dff26ff771b"|"NULL"|"REFERENCE"|"lineitem"|"l_shipmode"|0|0|92|908518|92|129760|3748760|"TableScan Impl: ColumnVsValue l_shipmode = 'MAIL'"
"88cb5050186f8f56"|"0x7fb8787c1850cd837dff26ff771b"|"0x7fb8787c1a10f3a5082abf20904b"|"NULL"|"DATA"|"lineitem"|"l_receiptdate"|0|0|92|6001215|92|908518|15047363|"TableScan Impl: ColumnBetween l_receiptdate BETWEEN UPPER EXCLUSIVE '1993-01-01' AND '1994-01-01'"
"88cb5050186f8f56"|"0x7fb8787c1230c5caad5bacd10e1d"|"0x7fb8787c1850cd837dff26ff771b"|"NULL"|"REFERENCE"|"lineitem"|"l_shipmode"|0|0|92|908518|92|130050|3321095|"TableScan Impl: ColumnVsValue l_shipmode = 'FOB'"
"5ceda49d87596ad1"|"0x7fb875add7905a5da9369440764e"|"0x7fb874408550787c913e7b77e77f"|"NULL"|"DATA"|"region"|"r_name"|0|0|1|5|1|1|18033|"TableScan Impl: ColumnVsValue r_name = 'MIDDLE EAST'"
"5ceda49d87596ad1"|"0x7fb875ade0508847e852e10b1af6"|"0x7fb875addf705dfa641f0c6b9065"|"NULL"|"REFERENCE"|"orders"|"o_orderdate"|0|0|23|39060|23|11991|670820|"TableScan Impl: ColumnBetween o_orderdate BETWEEN INCLUSIVE '1995-01-01' AND '1996-12-31'"
"5ceda49d87596ad1"|"0x7fb875addcd0dd0bdcd630d82bed"|"0x7fb875addbf0ae16e8eb33360359"|"NULL"|"DATA"|"part"|"p_type"|0|0|4|200000|4|1311|179267|"TableScan Impl: ColumnVsValue p_type = 'LARGE ANODIZED NICKEL'"
"b7716a7fca47124c"|"0x7fb876f5e090971346ae88531db9"|"0x7fb876f5e170b27e66c1dea82273"|"NULL"|"REFERENCE"|"lineitem"|"l_commitdate"|0|0|184|164457|184|31184|16048291|"TableScan Impl: ColumnVsColumn l_commitdate > l_shipdate"
"b7716a7fca47124c"|"0x7fb876f5e090971346ae88531db9"|"0x7fb876f5e170b27e66c1dea82273"|"NULL"|"REFERENCE"|"lineitem"|"l_shipdate"|0|0|184|164457|184|31184|16048291|"TableScan Impl: ColumnVsColumn l_commitdate > l_shipdate"
"b7716a7fca47124c"|"0x7fb876f5e170b27e66c1dea82273"|"0x7fb87b1b02b0dc639c9d46542842"|"NULL"|"REFERENCE"|"lineitem"|"l_commitdate"|0|0|184|260098|184|164457|22485027|"TableScan Impl: ColumnVsColumn l_commitdate < l_receiptdate"
"b7716a7fca47124c"|"0x7fb876f5e170b27e66c1dea82273"|"0x7fb87b1b02b0dc639c9d46542842"|"NULL"|"REFERENCE"|"lineitem"|"l_receiptdate"|0|0|184|260098|184|164457|22485027|"TableScan Impl: ColumnVsColumn l_commitdate < l_receiptdate"
"b7716a7fca47124c"|"0x7fb876f5ea3085fd19bba566f692"|"0x7fb876f5e79050635cef9ddf1935"|"NULL"|"REFERENCE"|"lineitem"|"l_shipmode"|0|0|92|911529|92|130266|3778019|"TableScan Impl: ColumnVsValue l_shipmode = 'REG AIR'"
"b7716a7fca47124c"|"0x7fb876f5e79050635cef9ddf1935"|"0x7fb876f5e870f3a5082abf20904b"|"NULL"|"DATA"|"lineitem"|"l_receiptdate"|0|0|92|6001215|92|911529|15101774|"TableScan Impl: ColumnBetween l_receiptdate BETWEEN UPPER EXCLUSIVE '1997-01-01' AND '1998-01-01'"
"b7716a7fca47124c"|"0x7fb876f5e95071dd217ea16d68a7"|"0x7fb876f5e79050635cef9ddf1935"|"NULL"|"REFERENCE"|"lineitem"|"l_shipmode"|0|0|92|911529|92|129832|3363845|"TableScan Impl: ColumnVsValue l_shipmode = 'SHIP'"
"30dd4d78749f665f"|"0x7fb87803c91096945039bca94920"|"0x7fb87803c9f0d44e3df8be35114"|"NULL"|"REFERENCE"|"lineitem"|"l_commitdate"|0|0|184|164648|184|31130|16154230|"TableScan Impl: ColumnVsColumn l_commitdate > l_shipdate"
"30dd4d78749f665f"|"0x7fb87803c91096945039bca94920"|"0x7fb87803c9f0d44e3df8be35114"|"NULL"|"REFERENCE"|"lineitem"|"l_shipdate"|0|0|184|164648|184|31130|16154230|"TableScan Impl: ColumnVsColumn l_commitdate > l_shipdate"
"30dd4d78749f665f"|"0x7fb87803c9f0d44e3df8be35114"|"0x7fb874187950a4f63932655390a0"|"NULL"|"REFERENCE"|"lineitem"|"l_commitdate"|0|0|184|260464|184|164648|22717635|"TableScan Impl: ColumnVsColumn l_commitdate < l_receiptdate"
"30dd4d78749f665f"|"0x7fb87803c9f0d44e3df8be35114"|"0x7fb874187950a4f63932655390a0"|"NULL"|"REFERENCE"|"lineitem"|"l_receiptdate"|0|0|184|260464|184|164648|22717635|"TableScan Impl: ColumnVsColumn l_commitdate < l_receiptdate"
"30dd4d78749f665f"|"0x7fb876f592b07abc8cc44b870c4d"|"0x7fb876f5901050635cef9ddf1935"|"NULL"|"REFERENCE"|"lineitem"|"l_shipmode"|0|0|92|911529|92|130345|4617443|"TableScan Impl: ColumnVsValue l_shipmode = 'FOB'"
"30dd4d78749f665f"|"0x7fb876f5901050635cef9ddf1935"|"0x7fb876f590f0f3a5082abf20904b"|"NULL"|"DATA"|"lineitem"|"l_receiptdate"|0|0|92|6001215|92|911529|15250348|"TableScan Impl: ColumnBetween l_receiptdate BETWEEN UPPER EXCLUSIVE '1997-01-01' AND '1998-01-01'"
"30dd4d78749f665f"|"0x7fb876f591d0a3037aae97edace6"|"0x7fb876f5901050635cef9ddf1935"|"NULL"|"REFERENCE"|"lineitem"|"l_shipmode"|0|0|92|911529|92|130119|3386336|"TableScan Impl: ColumnVsValue l_shipmode = 'AIR'"
"2128f939393ffa99"|"0x7fb870d28d70b857806da50b7d17"|"0x7fb870d28f30dbea539bfe66a02c"|"NULL"|"REFERENCE"|"partsupp"|"ps_suppkey"|0|0|4|1295376|4|323844|139490846|"TableScan Impl: ColumnVsColumn ps_suppkey = l_suppkey"
"2128f939393ffa99"|"0x7fb870d28d70b857806da50b7d17"|"0x7fb870d28f30dbea539bfe66a02c"|"NULL"|"REFERENCE"|"lineitem"|"l_suppkey"|0|0|4|1295376|4|323844|139490846|"TableScan Impl: ColumnVsColumn ps_suppkey = l_suppkey"
"2128f939393ffa99"|"0x7fb870d22fd0aa5092b748e6e8f0"|"0x7fb874629c70ae16e8eb33360359"|"NULL"|"DATA"|"part"|"p_name"|0|0|4|200000|4|10804|15088185|"TableScan Impl: ColumnLike p_name LIKE '%floral%'"
"b2779cbfec72d65d"|"0x7fb8642e2b90949c056bf9341162"|"0x7fb8642e2ab018a73eadac425cd6"|"NULL"|"DATA"|"orders"|"o_comment"|0|0|23|1500000|23|1483804|86052330|"TableScan Impl: ColumnLike o_comment NOT LIKE '%special%deposits%'"
"3012fb55b76cf808"|"0x7fb8625a4010d3c147e4aeec297f"|"0x7fb8623ae2108ccbe08273fca156"|"NULL"|"DATA"|"orders"|"o_orderstatus"|0|0|23|1500000|23|729413|7238231|"TableScan Impl: ColumnVsValue o_orderstatus = 'F'"
"3012fb55b76cf808"|"0x7fb8625a42b09bc23e2851b6ccdf"|"0x7fb87964e0b06dbad91c41ef26e"|"NULL"|"REFERENCE"|"lineitem"|"l_receiptdate"|0|0|92|238204|92|150794|35367988|"TableScan Impl: ColumnVsColumn l_receiptdate > l_commitdate"
"3012fb55b76cf808"|"0x7fb8625a42b09bc23e2851b6ccdf"|"0x7fb87964e0b06dbad91c41ef26e"|"NULL"|"REFERENCE"|"lineitem"|"l_commitdate"|0|0|92|238204|92|150794|35367988|"TableScan Impl: ColumnVsColumn l_receiptdate > l_commitdate"
"3012fb55b76cf808"|"0x7fb8623ae5909068706fddb1115c"|"0x7fb8623ae4b048d71e19c18258b9"|"NULL"|"DATA"|"nation"|"n_name"|0|0|1|25|1|1|11225|"TableScan Impl: ColumnVsValue n_name = 'GERMANY'"
"3012fb55b76cf808"|"0x7fb8623ae2f0537a9a5da6bbf59b"|"0x7fb87964e8d0570f06a2c23c3dbf"|"NULL"|"REFERENCE"|"lineitem"|"l_receiptdate"|0|0|2|712425|2|500396|98075050|"TableScan Impl: ColumnVsColumn l_receiptdate > l_commitdate"
"3012fb55b76cf808"|"0x7fb8623ae2f0537a9a5da6bbf59b"|"0x7fb87964e8d0570f06a2c23c3dbf"|"NULL"|"REFERENCE"|"lineitem"|"l_commitdate"|0|0|2|712425|2|500396|98075050|"TableScan Impl: ColumnVsColumn l_receiptdate > l_commitdate"
"66a2531bd4b0bf27"|"0x7fb87503ac50e9b74b41c456801f"|"0x7fb87503ad3072e469470e39f895"|"NULL"|"REFERENCE"|"lineitem"|"l_shipdate"|0|0|2|573281|2|30262|7911131|"TableScan Impl: ColumnVsValue l_shipdate > '1995-03-05'"
"66a2531bd4b0bf27"|"0x7fb87503b9704d78923bb8d68b9a"|"0x7fb87503ba50737333353f08f1e8"|"NULL"|"DATA"|"orders"|"o_orderdate"|0|0|23|1500000|23|721026|7367441|"TableScan Impl: ColumnVsValue o_orderdate < '1995-03-05'"
"66a2531bd4b0bf27"|"0x7fb87503a5503751c27567ca6cfe"|"0x7fb87503b89072c2c8899ee07381"|"NULL"|"DATA"|"customer"|"c_mktsegment"|0|0|3|150000|3|29752|388558|"TableScan Impl: ColumnVsValue c_mktsegment = 'AUTOMOBILE'"
"118eb592898739be"|"0x7fb87b36ca10f03caf76ee027cba"|"0x7fb87b36caf0eb73f95655749353"|"NULL"|"REFERENCE"|"lineitem"|"l_commitdate"|0|0|184|164300|184|31075|16033991|"TableScan Impl: ColumnVsColumn l_commitdate > l_shipdate"
"118eb592898739be"|"0x7fb87b36ca10f03caf76ee027cba"|"0x7fb87b36caf0eb73f95655749353"|"NULL"|"REFERENCE"|"lineitem"|"l_shipdate"|0|0|184|164300|184|31075|16033991|"TableScan Impl: ColumnVsColumn l_commitdate > l_shipdate"
